Sample_ID,Participant,Bottle_ID,Incubation,pH,Redox,Carbon,PFAS,Time,PFOA,diPAP,monoPAP ,FTOH,PFHxA,PFOA_Norm,diPAP_Norm
B0F1,A,Bottle_01,Biotic,2,Aerobic,lactose,Yes,0,2664,1462.114081,NA,0,2.318686499,88.79125288,48.73713604
B0F2,A,Bottle_02,Biotic,7,Aerobic,lactose,Yes,0,3617,2456.889666,19.2,0,1.917468717,120.5538334,81.8963222
B0F3,A,Bottle_03,Biotic,2,Aerobic,glucose,Yes,0,2888,1989.516862,19.3,0,0,96.27646397,66.31722875
B0F4,A,Bottle_04,Biotic,7,Aerobic,glucose,Yes,0,4046,3289.656757,26.9,0,0,134.862545,109.6552252
B0F5,A,Bottle_05,Biotic,2,Anaerobic,lactose,Yes,0,4493,3027.200266,29.2,0,0,149.780843,100.9066755
B0F6,A,Bottle_06,Biotic,7,Anaerobic,lactose,Yes,0,3716,3690.596053,27.8,0,0,123.8638395,123.0198684
B0F7,A,Bottle_07,Biotic,2,Anaerobic,glucose,Yes,0,4209,2654.15172,22.4,0,1.511410635,140.2852247,88.47172398
B0F8,A,Bottle_08,Biotic,7,Anaerobic,glucose,Yes,0,5040,2583.787826,11.8,0,2.414073448,168.0028823,86.12626086
B0F9,A,Bottle_09,Biotic,2,Aerobic,lactose,No,0,0,0,0,0,0,NA,NA
B0F10,A,Bottle_10,Biotic,7,Aerobic,lactose,No,0,0,0,0,0,0,NA,NA
B0F11,A,Bottle_11,Biotic,2,Aerobic,glucose,No,0,0,0,0,0,0,NA,NA
B0F12,A,Bottle_12,Biotic,7,Aerobic,glucose,No,0,0,0,0,0,0,NA,NA
B0F13,A,Bottle_13,Biotic,2,Anaerobic,lactose,No,0,0,0,0,0,0,NA,NA
B0F14,A,Bottle_14,Biotic,7,Anaerobic,lactose,No,0,0,0,0,0,0,NA,NA
B0F15,A,Bottle_15,Biotic,2,Anaerobic,glucose,No,0,0,0,0,0,0,NA,NA
B0F16,A,Bottle_16,Biotic,7,Anaerobic,glucose,No,0,0,0,0,0,0,NA,NA
B4F1,A,Bottle_01,Biotic,2,Aerobic,lactose,Yes,4,NA,4816.80473,37.3,0,0,NA,160.5601577
B4F2,A,Bottle_02,Biotic,7,Aerobic,lactose,Yes,4,4664,3855.862103,NA,0,3.288202469,155.4746035,128.5287368
B4F3,A,Bottle_03,Biotic,2,Aerobic,glucose,Yes,4,4084,3587.090349,19.3,0,0,136.1281608,119.5696783
B4F4,A,Bottle_04,Biotic,7,Aerobic,glucose,Yes,4,4121,6608.204513,20.4,0,0,137.3557708,220.2734838
B4F5,A,Bottle_05,Biotic,2,Anaerobic,lactose,Yes,4,4539,4614.862853,22.2,0,2.216400082,151.3158814,153.8287618
B4F6,A,Bottle_06,Biotic,7,Anaerobic,lactose,Yes,4,NA,5399.312849,27.4,0,0,NA,179.977095
B4F7,A,Bottle_07,Biotic,2,Anaerobic,glucose,Yes,4,5126,3493.232409,19.8,0,2.512745507,170.8585195,116.4410803
B4F8,A,Bottle_08,Biotic,7,Anaerobic,glucose,Yes,4,4548,914.0234824,NA,0,0,151.5939485,30.46744941
B4F9,A,Bottle_09,Biotic,2,Aerobic,lactose,No,4,0,0,0,0,0,NA,NA
B4F10,A,Bottle_10,Biotic,7,Aerobic,lactose,No,4,0,0,0,0,0,NA,NA
B4F11,A,Bottle_11,Biotic,2,Aerobic,glucose,No,4,0,0,0,0,0,NA,NA
B4F12,A,Bottle_12,Biotic,7,Aerobic,glucose,No,4,0,0,0,2.17,0,NA,NA
B4F13,A,Bottle_13,Biotic,2,Anaerobic,lactose,No,4,0,0,0,0,0,NA,NA
B4F14,A,Bottle_14,Biotic,7,Anaerobic,lactose,No,4,0,0,0,0,0,NA,NA
B4F15,A,Bottle_15,Biotic,2,Anaerobic,glucose,No,4,0,0,0,0,0,NA,NA
B4F16,A,Bottle_16,Biotic,7,Anaerobic,glucose,No,4,0,0,0,0,0,NA,NA
B8F1,A,Bottle_01,Biotic,2,Aerobic,lactose,Yes,8,5910,3476.205179,21.2,2.14,0,196.9919541,115.873506
B8F2,A,Bottle_02,Biotic,7,Aerobic,lactose,Yes,8,5253,4455.44908,16.8,0,0,175.1071383,148.5149693
B8F3,A,Bottle_03,Biotic,2,Aerobic,glucose,Yes,8,3938,3052.291448,20.2,0,0,131.2651906,101.7430483
B8F4,A,Bottle_04,Biotic,7,Aerobic,glucose,Yes,8,5054,3342.963444,13.2,2.11,0,168.4710326,111.4321148
B8F5,A,Bottle_05,Biotic,2,Anaerobic,lactose,Yes,8,3846,2911.595304,10.6,0,0,128.216636,97.05317678
B8F6,A,Bottle_06,Biotic,7,Anaerobic,lactose,Yes,8,4781,4102.990091,13.2,2.35,1.647448355,159.3529809,136.7663364
B8F7,A,Bottle_07,Biotic,2,Anaerobic,glucose,Yes,8,4392,3083.879424,10,2.55,2.248194605,146.3938724,102.7959808
B8F8,A,Bottle_08,Biotic,7,Anaerobic,glucose,Yes,8,3933,5040.070614,22.6,0,2.64151579,131.1145538,168.0023538
B8F9,A,Bottle_09,Biotic,2,Aerobic,lactose,No,8,0,0,0,0,0,NA,NA
B8F10,A,Bottle_10,Biotic,7,Aerobic,lactose,No,8,0,0,0,2.19,0,NA,NA
B8F11,A,Bottle_11,Biotic,2,Aerobic,glucose,No,8,0,0,0,0,0,NA,NA
B8F12,A,Bottle_12,Biotic,7,Aerobic,glucose,No,8,0,0,0,3.21,0,NA,NA
B8F13,A,Bottle_13,Biotic,2,Anaerobic,lactose,No,8,0,0,0,2.11,0,NA,NA
B8F14,A,Bottle_14,Biotic,7,Anaerobic,lactose,No,8,0,0,0,2.09,0,NA,NA
B8F15,A,Bottle_15,Biotic,2,Anaerobic,glucose,No,8,0,0,0,2.76,0,NA,NA
B8F16,A,Bottle_16,Biotic,7,Anaerobic,glucose,No,8,0,0,0,0,0,NA,NA
B24F1,A,Bottle_01,Biotic,2,Aerobic,lactose,Yes,24,NA,5119.236239,17.3,2.04,0,NA,170.641208
B24F2,A,Bottle_02,Biotic,7,Aerobic,lactose,Yes,24,4208,9265.30169,3.2,2.15,0,140.2621892,308.8433897
B24F3,A,Bottle_03,Biotic,2,Aerobic,glucose,Yes,24,4070,4512.509618,18.2,0,3.612034332,135.6524215,150.4169873
B24F4,A,Bottle_04,Biotic,7,Aerobic,glucose,Yes,24,4614,5101.334666,0,3.08,4.240898855,153.7962011,170.0444889
B24F5,A,Bottle_05,Biotic,2,Anaerobic,lactose,Yes,24,3550,6793.47556,29.1,2.14,0,118.3193807,226.4491853
B24F6,A,Bottle_06,Biotic,7,Anaerobic,lactose,Yes,24,4046,8050.606045,0,2.14,0,134.8535796,268.3535348
B24F7,A,Bottle_07,Biotic,2,Anaerobic,glucose,Yes,24,3346,6659.367807,23.9,0,4.103742153,111.5291637,221.9789269
B24F8,A,Bottle_08,Biotic,7,Anaerobic,glucose,Yes,24,3949,6946.867183,0,2.4,4.537944111,131.6172267,231.5622394
B24F9,A,Bottle_09,Biotic,2,Aerobic,lactose,No,24,0,0,0,0,0,NA,NA
B24F10,A,Bottle_10,Biotic,7,Aerobic,lactose,No,24,0,0,0,2.04,0,NA,NA
B24F11,A,Bottle_11,Biotic,2,Aerobic,glucose,No,24,0,0,0,0,0,NA,NA
B24F12,A,Bottle_12,Biotic,7,Aerobic,glucose,No,24,0,0,0,0,0,NA,NA
B24F13,A,Bottle_13,Biotic,2,Anaerobic,lactose,No,24,0,0,0,0,0,NA,NA
