ID	Bottle	Participant	TimePoint	Sugar	pH	Oxygen	PFAS	BatchID
B8F1	F1	F	8	lactose	pH2	Aerobic	Yes	B001
B8F2	F2	F	8	lactose	pH7	Aerobic	Yes	B001
B8F3	F3	F	8	glucose	pH2	Aerobic	Yes	B001
B8F4	F4	F	8	glucose	pH7	Aerobic	Yes	B001
B8F5	F5	F	8	lactose	pH2	Anaerobic	Yes	B001
B8F9	F9	F	8	lactose	pH2	Aerobic	No	B001
B8F10	F10	F	8	lactose	pH7	Aerobic	No	B001
B8F11	F11	F	8	glucose	pH2	Aerobic	No	B001
B8F12	F12	F	8	glucose	pH7	Aerobic	No	B001
B8F13	F13	F	8	lactose	pH2	Anaerobic	No	B001
B8F6	F6	F	8	lactose	pH7	Anaerobic	Yes	B002
B8F7	F7	F	8	glucose	pH2	Anaerobic	Yes	B002
B8F8	F8	F	8	glucose	pH7	Anaerobic	Yes	B002
B8F14	F14	F	8	lactose	pH7	Anaerobic	No	B002
B8F15	F15	F	8	glucose	pH2	Anaerobic	No	B002
B8F16	F16	F	8	glucose	pH7	Anaerobic	No	B002
B24F1	F1	F	24	lactose	pH2	Aerobic	Yes	B002
B24F2	F2	F	24	lactose	pH7	Aerobic	Yes	B002
B24F9	F9	F	24	lactose	pH2	Aerobic	No	B002
B24F10	F10	F	24	lactose	pH7	Aerobic	No	B002
B24F3	F3	F	24	glucose	pH2	Aerobic	Yes	B003
B24F4	F4	F	24	glucose	pH7	Aerobic	Yes	B003
B24F5	F5	F	24	lactose	pH2	Anaerobic	Yes	B003
B24F6	F6	F	24	lactose	pH7	Anaerobic	Yes	B003
B24F7	F7	F	24	glucose	pH2	Anaerobic	Yes	B003
B24F8	F8	F	24	glucose	pH7	Anaerobic	Yes	B003
B24F11	F11	F	24	glucose	pH2	Aerobic	No	B003
B24F12	F12	F	24	glucose	pH7	Aerobic	No	B003
B24F13	F13	F	24	lactose	pH2	Anaerobic	No	B003
B24F14	F14	F	24	lactose	pH7	Anaerobic	No	B003
B24F15	F15	F	24	glucose	pH2	Anaerobic	No	B003
B24F16	F16	F	24	glucose	pH7	Anaerobic	No	B003
B72F1	F1	F	72	lactose	pH2	Aerobic	Yes	B003
B72F2	F2	F	72	lactose	pH7	Aerobic	Yes	B003
B72F3	F3	F	72	glucose	pH2	Aerobic	Yes	B003
B72F4	F4	F	72	glucose	pH7	Aerobic	Yes	B003
B72F5	F5	F	72	lactose	pH2	Anaerobic	Yes	B003
B72F9	F9	F	72	lactose	pH2	Aerobic	No	B003
B72F10	F10	F	72	lactose	pH7	Aerobic	No	B003
B72F11	F11	F	72	glucose	pH2	Aerobic	No	B003
B72F12	F12	F	72	glucose	pH7	Aerobic	No	B003
B72F13	F13	F	72	lactose	pH2	Anaerobic	No	B003
B72F6	F6	F	72	lactose	pH7	Anaerobic	Yes	B004
B72F7	F7	F	72	glucose	pH2	Anaerobic	Yes	B004
B72F8	F8	F	72	glucose	pH7	Anaerobic	Yes	B004
B72F14	F14	F	72	lactose	pH7	Anaerobic	No	B004
B72F15	F15	F	72	glucose	pH2	Anaerobic	No	B004
B72F16	F16	F	72	glucose	pH7	Anaerobic	No	B004
B8M1	M1	M	8	lactose	pH2	Aerobic	Yes	B004
B8M2	M2	M	8	lactose	pH7	Aerobic	Yes	B004
B8M3	M3	M	8	glucose	pH2	Aerobic	Yes	B004
B8M4	M4	M	8	glucose	pH7	Aerobic	Yes	B004
B8M5	M5	M	8	lactose	pH2	Anaerobic	Yes	B004
B8M6	M6	M	8	lactose	pH7	Anaerobic	Yes	B004
B8M7	M7	M	8	glucose	pH2	Anaerobic	Yes	B004
B8M8	M8	M	8	glucose	pH7	Anaerobic	Yes	B004
B8M9	M9	M	8	lactose	pH2	Aerobic	No	B004
B8M10	M10	M	8	lactose	pH7	Aerobic	No	B004
B8M11	M11	M	8	glucose	pH2	Aerobic	No	B004
B8M12	M12	M	8	glucose	pH7	Aerobic	No	B004
B8M13	M13	M	8	lactose	pH2	Anaerobic	No	B004
B8M14	M14	M	8	lactose	pH7	Anaerobic	No	B004
B8M15	M15	M	8	glucose	pH2	Anaerobic	No	B004
B8M16	M16	M	8	glucose	pH7	Anaerobic	No	B004
B24M1	M1	M	24	lactose	pH2	Aerobic	Yes	B005
B24M2	M2	M	24	lactose	pH7	Aerobic	Yes	B005
B24M3	M3	M	24	glucose	pH2	Aerobic	Yes	B005
B24M4	M4	M	24	glucose	pH7	Aerobic	Yes	B005
B24M5	M5	M	24	lactose	pH2	Anaerobic	Yes	B005
B24M6	M6	M	24	lactose	pH7	Anaerobic	Yes	B005
B24M7	M7	M	24	glucose	pH2	Anaerobic	Yes	B005
B24M8	M8	M	24	glucose	pH7	Anaerobic	Yes	B005
B24M9	M9	M	24	lactose	pH2	Aerobic	No	B005
B24M10	M10	M	24	lactose	pH7	Aerobic	No	B005
B24M11	M11	M	24	glucose	pH2	Aerobic	No	B005
B24M12	M12	M	24	glucose	pH7	Aerobic	No	B005
B24M13	M13	M	24	lactose	pH2	Anaerobic	No	B005
B24M14	M14	M	24	lactose	pH7	Anaerobic	No	B005
B24M15	M15	M	24	glucose	pH2	Anaerobic	No	B005
B24M16	M16	M	24	glucose	pH7	Anaerobic	No	B005
B72M1	M1	M	72	lactose	pH2	Aerobic	Yes	B005
B72M2	M2	M	72	lactose	pH7	Aerobic	Yes	B005
B72M3	M3	M	72	glucose	pH2	Aerobic	Yes	B005
B72M9	M9	M	72	lactose	pH2	Aerobic	No	B005
B72M10	M10	M	72	lactose	pH7	Aerobic	No	B005
B72M11	M11	M	72	glucose	pH2	Aerobic	No	B005
B72M4	M4	M	72	glucose	pH7	Aerobic	Yes	B006
B72M5	M5	M	72	lactose	pH2	Anaerobic	Yes	B006
B72M6	M6	M	72	lactose	pH7	Anaerobic	Yes	B006
B72M7	M7	M	72	glucose	pH2	Anaerobic	Yes	B006
B72M8	M8	M	72	glucose	pH7	Anaerobic	Yes	B006
