ID	Bottle	Participant	TimePoint	Sugar	pH	Oxygen	PFAS	BatchID
B24F1	B1	A	24	lactose	pH2	Aerobic	Yes	B002
B24M1	B1	B	24	lactose	pH2	Aerobic	Yes	B005
B72F1	B1	A	72	lactose	pH2	Aerobic	Yes	B003
B72M1	B1	B	72	lactose	pH2	Aerobic	Yes	B005
B8F1	B1	A	8	lactose	pH2	Aerobic	Yes	B001
B8M1	B1	B	8	lactose	pH2	Aerobic	Yes	B004
B24F10	B10	A	24	lactose	pH7	Aerobic	No	B002
B24M10	B10	B	24	lactose	pH7	Aerobic	No	B005
B72F10	B10	A	72	lactose	pH7	Aerobic	No	B003
B72M10	B10	B	72	lactose	pH7	Aerobic	No	B005
B8F10	B10	A	8	lactose	pH7	Aerobic	No	B001
B8M10	B10	B	8	lactose	pH7	Aerobic	No	B004
B24F11	B11	A	24	glucose	pH2	Aerobic	No	B003
B24M11	B11	B	24	glucose	pH2	Aerobic	No	B005
B72F11	B11	A	72	glucose	pH2	Aerobic	No	B003
B72M11	B11	B	72	glucose	pH2	Aerobic	No	B005
B8F11	B11	A	8	glucose	pH2	Aerobic	No	B001
B8M11	B11	B	8	glucose	pH2	Aerobic	No	B004
B24F12	B12	A	24	glucose	pH7	Aerobic	No	B003
B24M12	B12	B	24	glucose	pH7	Aerobic	No	B005
B72F12	B12	A	72	glucose	pH7	Aerobic	No	B003
B72M12	B12	B	72	glucose	pH7	Aerobic	No	B006
B8F12	B12	A	8	glucose	pH7	Aerobic	No	B001
B8M12	B12	B	8	glucose	pH7	Aerobic	No	B004
B24F13	B13	A	24	lactose	pH2	Anaerobic	No	B003
B24M13	B13	B	24	lactose	pH2	Anaerobic	No	B005
B72F13	B13	A	72	lactose	pH2	Anaerobic	No	B003
B72M13	B13	B	72	lactose	pH2	Anaerobic	No	B006
B8F13	B13	A	8	lactose	pH2	Anaerobic	No	B001
B8M13	B13	B	8	lactose	pH2	Anaerobic	No	B004
B24F14	B14	A	24	lactose	pH7	Anaerobic	No	B003
B24M14	B14	B	24	lactose	pH7	Anaerobic	No	B005
B72F14	B14	A	72	lactose	pH7	Anaerobic	No	B004
B72M14	B14	B	72	lactose	pH7	Anaerobic	No	B006
B8F14	B14	A	8	lactose	pH7	Anaerobic	No	B002
B8M14	B14	B	8	lactose	pH7	Anaerobic	No	B004
B24F15	B15	A	24	glucose	pH2	Anaerobic	No	B003
B24M15	B15	B	24	glucose	pH2	Anaerobic	No	B005
B72F15	B15	A	72	glucose	pH2	Anaerobic	No	B004
B72M15	B15	B	72	glucose	pH2	Anaerobic	No	B006
B8F15	B15	A	8	glucose	pH2	Anaerobic	No	B002
B8M15	B15	B	8	glucose	pH2	Anaerobic	No	B004
B24F16	B16	A	24	glucose	pH7	Anaerobic	No	B003
B24M16	B16	B	24	glucose	pH7	Anaerobic	No	B005
B72F16	B16	A	72	glucose	pH7	Anaerobic	No	B004
B72M16	B16	B	72	glucose	pH7	Anaerobic	No	B006
B8F16	B16	A	8	glucose	pH7	Anaerobic	No	B002
B8M16	B16	B	8	glucose	pH7	Anaerobic	No	B004
B24F2	B2	A	24	lactose	pH7	Aerobic	Yes	B002
B24M2	B2	B	24	lactose	pH7	Aerobic	Yes	B005
B72F2	B2	A	72	lactose	pH7	Aerobic	Yes	B003
B72M2	B2	B	72	lactose	pH7	Aerobic	Yes	B005
B8F2	B2	A	8	lactose	pH7	Aerobic	Yes	B001
B8M2	B2	B	8	lactose	pH7	Aerobic	Yes	B004
B24F3	B3	A	24	glucose	pH2	Aerobic	Yes	B003
B24M3	B3	B	24	glucose	pH2	Aerobic	Yes	B005
B72F3	B3	A	72	glucose	pH2	Aerobic	Yes	B003
B72M3	B3	B	72	glucose	pH2	Aerobic	Yes	B005
B8F3	B3	A	8	glucose	pH2	Aerobic	Yes	B001
B8M3	B3	B	8	glucose	pH2	Aerobic	Yes	B004
B24F4	B4	A	24	glucose	pH7	Aerobic	Yes	B003
B24M4	B4	B	24	glucose	pH7	Aerobic	Yes	B005
B72F4	B4	A	72	glucose	pH7	Aerobic	Yes	B003
B72M4	B4	B	72	glucose	pH7	Aerobic	Yes	B006
B8F4	B4	A	8	glucose	pH7	Aerobic	Yes	B001
B8M4	B4	B	8	glucose	pH7	Aerobic	Yes	B004
B24F5	B5	A	24	lactose	pH2	Anaerobic	Yes	B003
B24M5	B5	B	24	lactose	pH2	Anaerobic	Yes	B005
B72F5	B5	A	72	lactose	pH2	Anaerobic	Yes	B003
B72M5	B5	B	72	lactose	pH2	Anaerobic	Yes	B006
B8F5	B5	A	8	lactose	pH2	Anaerobic	Yes	B001
B8M5	B5	B	8	lactose	pH2	Anaerobic	Yes	B004
B24F6	B6	A	24	lactose	pH7	Anaerobic	Yes	B003
B24M6	B6	B	24	lactose	pH7	Anaerobic	Yes	B005
B72F6	B6	A	72	lactose	pH7	Anaerobic	Yes	B004
B72M6	B6	B	72	lactose	pH7	Anaerobic	Yes	B006
B8F6	B6	A	8	lactose	pH7	Anaerobic	Yes	B002
B8M6	B6	B	8	lactose	pH7	Anaerobic	Yes	B004
B24F7	B7	A	24	glucose	pH2	Anaerobic	Yes	B003
B24M7	B7	B	24	glucose	pH2	Anaerobic	Yes	B005
B72F7	B7	A	72	glucose	pH2	Anaerobic	Yes	B004
B72M7	B7	B	72	glucose	pH2	Anaerobic	Yes	B006
B8F7	B7	A	8	glucose	pH2	Anaerobic	Yes	B002
B8M7	B7	B	8	glucose	pH2	Anaerobic	Yes	B004
B24F8	B8	A	24	glucose	pH7	Anaerobic	Yes	B003
B24M8	B8	B	24	glucose	pH7	Anaerobic	Yes	B005
B72F8	B8	A	72	glucose	pH7	Anaerobic	Yes	B004
B72M8	B8	B	72	glucose	pH7	Anaerobic	Yes	B006
B8F8	B8	A	8	glucose	pH7	Anaerobic	Yes	B002
B8M8	B8	B	8	glucose	pH7	Anaerobic	Yes	B004
B24F9	B9	A	24	lactose	pH2	Aerobic	No	B002
B24M9	B9	B	24	lactose	pH2	Aerobic	No	B005
B72F9	B9	A	72	lactose	pH2	Aerobic	No	B003
B72M9	B9	B	72	lactose	pH2	Aerobic	No	B005
B8F9	B9	A	8	lactose	pH2	Aerobic	No	B001
B8M9	B9	B	8	lactose	pH2	Aerobic	No	B004
