ID	Sample_or_Control	Bottle	Participant	TimePoint	Sugar	pH	Oxygen	PFAS	BatchID
B8F1	experimental	F1	F	8	lactose	pH2	Aerobic	Yes	B001
B8F2	experimental	F2	F	8	lactose	pH7	Aerobic	Yes	B001
B8F3	experimental	F3	F	8	glucose	pH2	Aerobic	Yes	B001
B8F4	experimental	F4	F	8	glucose	pH7	Aerobic	Yes	B001
B8F5	experimental	F5	F	8	lactose	pH2	Anaerobic	Yes	B001
B8F9	experimental	F9	F	8	lactose	pH2	Aerobic	No	B001
B8F10	experimental	F10	F	8	lactose	pH7	Aerobic	No	B001
B8F11	experimental	F11	F	8	glucose	pH2	Aerobic	No	B001
B8F12	experimental	F12	F	8	glucose	pH7	Aerobic	No	B001
B8F13	experimental	F13	F	8	lactose	pH2	Anaerobic	No	B001
B8F6	experimental	F6	F	8	lactose	pH7	Anaerobic	Yes	B002
B8F7	experimental	F7	F	8	glucose	pH2	Anaerobic	Yes	B002
B8F8	experimental	F8	F	8	glucose	pH7	Anaerobic	Yes	B002
B8F14	experimental	F14	F	8	lactose	pH7	Anaerobic	No	B002
B8F15	experimental	F15	F	8	glucose	pH2	Anaerobic	No	B002
B8F16	experimental	F16	F	8	glucose	pH7	Anaerobic	No	B002
B24F1	experimental	F1	F	24	lactose	pH2	Aerobic	Yes	B002
B24F2	experimental	F2	F	24	lactose	pH7	Aerobic	Yes	B002
B24F9	experimental	F9	F	24	lactose	pH2	Aerobic	No	B002
B24F10	experimental	F10	F	24	lactose	pH7	Aerobic	No	B002
B24F3	experimental	F3	F	24	glucose	pH2	Aerobic	Yes	B003
B24F4	experimental	F4	F	24	glucose	pH7	Aerobic	Yes	B003
B24F5	experimental	F5	F	24	lactose	pH2	Anaerobic	Yes	B003
B24F6	experimental	F6	F	24	lactose	pH7	Anaerobic	Yes	B003
B24F7	experimental	F7	F	24	glucose	pH2	Anaerobic	Yes	B003
B24F8	experimental	F8	F	24	glucose	pH7	Anaerobic	Yes	B003
B24F11	experimental	F11	F	24	glucose	pH2	Aerobic	No	B003
B24F12	experimental	F12	F	24	glucose	pH7	Aerobic	No	B003
B24F13	experimental	F13	F	24	lactose	pH2	Anaerobic	No	B003
B24F14	experimental	F14	F	24	lactose	pH7	Anaerobic	No	B003
B24F15	experimental	F15	F	24	glucose	pH2	Anaerobic	No	B003
B24F16	experimental	F16	F	24	glucose	pH7	Anaerobic	No	B003
B72F1	experimental	F1	F	72	lactose	pH2	Aerobic	Yes	B003
B72F2	experimental	F2	F	72	lactose	pH7	Aerobic	Yes	B003
B72F3	experimental	F3	F	72	glucose	pH2	Aerobic	Yes	B003
B72F4	experimental	F4	F	72	glucose	pH7	Aerobic	Yes	B003
B72F5	experimental	F5	F	72	lactose	pH2	Anaerobic	Yes	B003
B72F9	experimental	F9	F	72	lactose	pH2	Aerobic	No	B003
B72F10	experimental	F10	F	72	lactose	pH7	Aerobic	No	B003
B72F11	experimental	F11	F	72	glucose	pH2	Aerobic	No	B003
B72F12	experimental	F12	F	72	glucose	pH7	Aerobic	No	B003
B72F13	experimental	F13	F	72	lactose	pH2	Anaerobic	No	B003
B72F6	experimental	F6	F	72	lactose	pH7	Anaerobic	Yes	B004
B72F7	experimental	F7	F	72	glucose	pH2	Anaerobic	Yes	B004
B72F8	experimental	F8	F	72	glucose	pH7	Anaerobic	Yes	B004
B72F14	experimental	F14	F	72	lactose	pH7	Anaerobic	No	B004
B72F15	experimental	F15	F	72	glucose	pH2	Anaerobic	No	B004
B72F16	experimental	F16	F	72	glucose	pH7	Anaerobic	No	B004
B8M1	experimental	M1	M	8	lactose	pH2	Aerobic	Yes	B004
B8M2	experimental	M2	M	8	lactose	pH7	Aerobic	Yes	B004
B8M3	experimental	M3	M	8	glucose	pH2	Aerobic	Yes	B004
B8M4	experimental	M4	M	8	glucose	pH7	Aerobic	Yes	B004
B8M5	experimental	M5	M	8	lactose	pH2	Anaerobic	Yes	B004
B8M6	experimental	M6	M	8	lactose	pH7	Anaerobic	Yes	B004
B8M7	experimental	M7	M	8	glucose	pH2	Anaerobic	Yes	B004
B8M8	experimental	M8	M	8	glucose	pH7	Anaerobic	Yes	B004
B8M9	experimental	M9	M	8	lactose	pH2	Aerobic	No	B004
B8M10	experimental	M10	M	8	lactose	pH7	Aerobic	No	B004
B8M11	experimental	M11	M	8	glucose	pH2	Aerobic	No	B004
B8M12	experimental	M12	M	8	glucose	pH7	Aerobic	No	B004
B8M13	experimental	M13	M	8	lactose	pH2	Anaerobic	No	B004
B8M14	experimental	M14	M	8	lactose	pH7	Anaerobic	No	B004
B8M15	experimental	M15	M	8	glucose	pH2	Anaerobic	No	B004
B8M16	experimental	M16	M	8	glucose	pH7	Anaerobic	No	B004
