id	Bottle	Participant	TimePoint	Sugar	pH	Oxygen	PFAS	BatchID	shannon_entropy
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric
B24F1	B1	A	24	lactose	pH2	Aerobic	Yes	B002	10.59756784
B24M1	B1	B	24	lactose	pH2	Aerobic	Yes	B005	9.30795699
B72F1	B1	A	72	lactose	pH2	Aerobic	Yes	B003	10.79832094
B72M1	B1	B	72	lactose	pH2	Aerobic	Yes	B005	7.722363126
B8F1	B1	A	8	lactose	pH2	Aerobic	Yes	B001	10.93828376
B8M1	B1	B	8	lactose	pH2	Aerobic	Yes	B004	10.59210246
B24F10	B10	A	24	lactose	pH7	Aerobic	No	B002	7.847270301
B24M10	B10	B	24	lactose	pH7	Aerobic	No	B005	7.151193297
B72F10	B10	A	72	lactose	pH7	Aerobic	No	B003	8.142577853
B72M10	B10	B	72	lactose	pH7	Aerobic	No	B005	7.392952624
B8F10	B10	A	8	lactose	pH7	Aerobic	No	B001	10.83999106
B8M10	B10	B	8	lactose	pH7	Aerobic	No	B004	10.97695747
B24F11	B11	A	24	glucose	pH2	Aerobic	No	B003	10.54257484
B24M11	B11	B	24	glucose	pH2	Aerobic	No	B005	9.447686656
B72F11	B11	A	72	glucose	pH2	Aerobic	No	B003	10.70816892
B72M11	B11	B	72	glucose	pH2	Aerobic	No	B005	8.371172273
B8F11	B11	A	8	glucose	pH2	Aerobic	No	B001	10.18634055
B8M11	B11	B	8	glucose	pH2	Aerobic	No	B004	10.7284124
B24F12	B12	A	24	glucose	pH7	Aerobic	No	B003	7.808729388
B24M12	B12	B	24	glucose	pH7	Aerobic	No	B005	7.349454264
B72F12	B12	A	72	glucose	pH7	Aerobic	No	B003	7.93582659
B72M12	B12	B	72	glucose	pH7	Aerobic	No	B006	7.210688947
B8F12	B12	A	8	glucose	pH7	Aerobic	No	B001	9.788936947
B8M12	B12	B	8	glucose	pH7	Aerobic	No	B004	10.97121161
B24F13	B13	A	24	lactose	pH2	Anaerobic	No	B003	10.64855401
B24M13	B13	B	24	lactose	pH2	Anaerobic	No	B005	7.484762809
B72F13	B13	A	72	lactose	pH2	Anaerobic	No	B003	10.96990393
B72M13	B13	B	72	lactose	pH2	Anaerobic	No	B006	7.311712052
B8F13	B13	A	8	lactose	pH2	Anaerobic	No	B001	9.988912353
B8M13	B13	B	8	lactose	pH2	Anaerobic	No	B004	7.55028902
B24F14	B14	A	24	lactose	pH7	Anaerobic	No	B003	8.246376278
B24M14	B14	B	24	lactose	pH7	Anaerobic	No	B005	7.085339781
B72F14	B14	A	72	lactose	pH7	Anaerobic	No	B004	8.132757951
B72M14	B14	B	72	lactose	pH7	Anaerobic	No	B006	7.279567586
B8F14	B14	A	8	lactose	pH7	Anaerobic	No	B002	9.857835449
B8M14	B14	B	8	lactose	pH7	Anaerobic	No	B004	10.97064227
B24F15	B15	A	24	glucose	pH2	Anaerobic	No	B003	10.38106487
B24M15	B15	B	24	glucose	pH2	Anaerobic	No	B005	7.737018069
B72F15	B15	A	72	glucose	pH2	Anaerobic	No	B004	10.86358556
B72M15	B15	B	72	glucose	pH2	Anaerobic	No	B006	8.093178209
B8F15	B15	A	8	glucose	pH2	Anaerobic	No	B002	10.23745013
B8M15	B15	B	8	glucose	pH2	Anaerobic	No	B004	7.647999616
B24F16	B16	A	24	glucose	pH7	Anaerobic	No	B003	8.21583013
B24M16	B16	B	24	glucose	pH7	Anaerobic	No	B005	6.955491658
B72F16	B16	A	72	glucose	pH7	Anaerobic	No	B004	8.225691732
B72M16	B16	B	72	glucose	pH7	Anaerobic	No	B006	7.335967019
B8F16	B16	A	8	glucose	pH7	Anaerobic	No	B002	9.733087554
B8M16	B16	B	8	glucose	pH7	Anaerobic	No	B004	10.96886006
B24F2	B2	A	24	lactose	pH7	Aerobic	Yes	B002	7.889165128
B24M2	B2	B	24	lactose	pH7	Aerobic	Yes	B005	7.492482129
B72F2	B2	A	72	lactose	pH7	Aerobic	Yes	B003	8.12301931
B72M2	B2	B	72	lactose	pH7	Aerobic	Yes	B005	7.573942163
B8F2	B2	A	8	lactose	pH7	Aerobic	Yes	B001	10.78772642
B8M2	B2	B	8	lactose	pH7	Aerobic	Yes	B004	10.99078518
B24F3	B3	A	24	glucose	pH2	Aerobic	Yes	B003	9.750276162
B24M3	B3	B	24	glucose	pH2	Aerobic	Yes	B005	9.45215694
B72F3	B3	A	72	glucose	pH2	Aerobic	Yes	B003	10.67418702
B72M3	B3	B	72	glucose	pH2	Aerobic	Yes	B005	8.404513825
B8F3	B3	A	8	glucose	pH2	Aerobic	Yes	B001	10.84366257
B8M3	B3	B	8	glucose	pH2	Aerobic	Yes	B004	10.62526316
B24F4	B4	A	24	glucose	pH7	Aerobic	Yes	B003	7.638358217
B24M4	B4	B	24	glucose	pH7	Aerobic	Yes	B005	7.293335743
B72F4	B4	A	72	glucose	pH7	Aerobic	Yes	B003	7.852316822
B72M4	B4	B	72	glucose	pH7	Aerobic	Yes	B006	7.121726039
B8F4	B4	A	8	glucose	pH7	Aerobic	Yes	B001	10.93764677
B8M4	B4	B	8	glucose	pH7	Aerobic	Yes	B004	11.01228388
B24F5	B5	A	24	lactose	pH2	Anaerobic	Yes	B003	10.52745223
