# Constructed from biom file
#OTU ID	B24F10	B24F11	B24F12	B24F13	B24F14	B24F15	B24F16	B24F1	B24F2	B24F3	B24F4	B24F5	B24F6	B24F7	B24F8	B24F9	B24M10	B24M11	B24M12	B24M13	B24M14	B24M15	B24M16	B24M1	B24M2	B24M3	B24M4	B24M5	B24M6	B24M7	B24M8	B24M9	B72F10	B72F11	B72F12	B72F13	B72F14	B72F15	B72F16	B72F1	B72F2	B72F3	B72F4	B72F5	B72F6	B72F7	B72F8	B72F9	B72M10	B72M11	B72M12	B72M13	B72M14	B72M15	B72M16	B72M1	B72M2	B72M3	B72M4	B72M5	B72M6	B72M7	B72M8	B72M9	B8F10	B8F11	B8F12	B8F13	B8F14	B8F15	B8F16	B8F1	B8F2	B8F3	B8F4	B8F5	B8F6	B8F7	B8F8	B8F9	B8M10	B8M11	B8M12	B8M13	B8M14	B8M15	B8M16	B8M1	B8M2	B8M3	B8M4	B8M5	B8M6	B8M7	B8M8	B8M9	FStool	MStool
d__Bacteria;p__Firmicutes;c__Clostridia	5048.0	51184.0	3085.0	68922.0	2344.0	42870.0	2377.0	51715.0	5596.0	20060.0	838.0	40077.0	2822.0	54183.0	2174.0	69792.0	2559.0	112027.0	2440.0	161191.0	867.0	155027.0	1745.0	94406.0	3643.0	116706.0	2981.0	54082.0	457.0	77723.0	1223.0	98610.0	2079.0	53231.0	2592.0	71801.0	881.0	52806.0	2298.0	67653.0	2204.0	59329.0	2035.0	76675.0	4075.0	76659.0	1217.0	68563.0	1813.0	99589.0	383.0	42584.0	351.0	84351.0	244.0	160382.0	1358.0	100556.0	1443.0	167978.0	466.0	137476.0	549.0	196278.0	61684.0	36455.0	12425.0	31189.0	14671.0	39085.0	13995.0	42202.0	67166.0	66365.0	73116.0	78423.0	22738.0	31230.0	19666.0	61684.0	53970.0	67316.0	55678.0	186507.0	55656.0	165730.0	55610.0	56411.0	56462.0	72402.0	58576.0	149377.0	34306.0	138377.0	56484.0	73435.0	97255.0	62841.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia	5535.0	11283.0	4626.0	13209.0	5195.0	7916.0	7755.0	10837.0	6496.0	3683.0	1371.0	7513.0	6042.0	11079.0	7926.0	14098.0	1127.0	3581.0	1331.0	61.0	983.0	42.0	1238.0	2806.0	1153.0	4103.0	1116.0	0.0	601.0	142.0	786.0	3367.0	3826.0	12195.0	5281.0	15605.0	2197.0	11485.0	8915.0	14388.0	5032.0	12230.0	4735.0	14423.0	8950.0	16477.0	2593.0	14048.0	1499.0	386.0	397.0	0.0	467.0	125.0	519.0	81.0	1781.0	419.0	443.0	297.0	2123.0	9.0	1376.0	179.0	19852.0	8336.0	3337.0	4160.0	6111.0	5611.0	5663.0	17218.0	27374.0	28669.0	28402.0	15494.0	9669.0	4966.0	9183.0	19868.0	29248.0	13548.0	30454.0	427.0	32287.0	527.0	24444.0	11359.0	29222.0	14717.0	33272.0	254.0	14391.0	209.0	28337.0	16829.0	17391.0	16186.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria	109.0	293.0	88.0	627.0	80.0	332.0	80.0	247.0	0.0	178.0	0.0	340.0	0.0	410.0	84.0	563.0	316.0	6461.0	451.0	24.0	63.0	0.0	180.0	5114.0	453.0	6014.0	304.0	0.0	38.0	0.0	0.0	5104.0	75.0	525.0	116.0	661.0	69.0	405.0	148.0	682.0	90.0	544.0	45.0	647.0	89.0	904.0	0.0	568.0	0.0	134.0	108.0	0.0	0.0	0.0	0.0	213.0	0.0	395.0	46.0	277.0	59.0	0.0	84.0	276.0	804.0	279.0	192.0	282.0	156.0	285.0	198.0	467.0	970.0	538.0	1037.0	1156.0	177.0	317.0	208.0	472.0	10569.0	11793.0	11142.0	91.0	11097.0	142.0	11042.0	9835.0	10298.0	11837.0	12436.0	66.0	8188.0	65.0	12931.0	11913.0	1243.0	11387.0
d__Bacteria;p__Firmicutes;c__Bacilli	12783.0	1710.0	24651.0	1695.0	28369.0	1462.0	28005.0	1625.0	12706.0	700.0	5911.0	2407.0	30109.0	1991.0	36217.0	2377.0	17150.0	4148.0	21968.0	2215.0	7712.0	2886.0	9441.0	3124.0	24718.0	4822.0	22784.0	1086.0	2977.0	1994.0	9398.0	3440.0	31111.0	4499.0	31280.0	2254.0	15155.0	3519.0	30477.0	2081.0	39126.0	1957.0	33215.0	1906.0	69450.0	2550.0	11360.0	1679.0	39536.0	8222.0	20856.0	598.0	4758.0	2938.0	20430.0	2864.0	37953.0	11517.0	20290.0	4955.0	28772.0	2730.0	15572.0	3691.0	4391.0	877.0	904.0	973.0	2030.0	1023.0	1857.0	882.0	4116.0	1938.0	5051.0	2149.0	2788.0	765.0	2666.0	1646.0	4698.0	4280.0	4753.0	3074.0	4470.0	2578.0	5295.0	4056.0	4184.0	4101.0	4732.0	2101.0	2659.0	2010.0	4912.0	4576.0	4321.0	4175.0
d__Bacteria;__;__	6.0	0.0	64.0	0.0	3.0	2.0	60.0	42.0	41.0	21.0	0.0	0.0	7.0	0.0	2.0	57.0	6.0	3.0	0.0	0.0	0.0	0.0	3.0	12.0	13.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	84.0	21.0	6.0	0.0	2.0	52.0	41.0	146.0	54.0	6.0	119.0	0.0	71.0	10.0	28.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	4.0	0.0	5.0	38.0	0.0	0.0	0.0	33.0	2.0	3.0	21.0	0.0	3.0	24.0	74.0	75.0	180.0	16.0	135.0	0.0	12.0	7.0	76.0	87.0	10.0	36.0	0.0	86.0	3.0	131.0	8.0	77.0	104.0	8.0	0.0	32.0	0.0	42.0	0.0	93.0	27.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	72482.0	1037.0	83148.0	981.0	39980.0	734.0	52339.0	1574.0	78832.0	591.0	20355.0	4330.0	37646.0	1108.0	58898.0	1831.0	174701.0	6535.0	146710.0	1065.0	109223.0	1281.0	199458.0	2408.0	128601.0	6356.0	148428.0	762.0	45078.0	8972.0	133351.0	1186.0	43344.0	8678.0	77815.0	1252.0	16087.0	3394.0	54417.0	1322.0	60382.0	1367.0	79615.0	1398.0	76159.0	2216.0	26278.0	955.0	153919.0	27645.0	140198.0	225.0	36736.0	7379.0	102242.0	1289.0	132242.0	41925.0	201018.0	19490.0	137101.0	1582.0	149651.0	2365.0	5095.0	294.0	635.0	530.0	6824.0	564.0	6350.0	436.0	5424.0	623.0	5377.0	1196.0	9463.0	536.0	5751.0	467.0	1750.0	722.0	1588.0	576.0	1896.0	720.0	5481.0	544.0	1923.0	751.0	2190.0	252.0	2032.0	163.0	2495.0	675.0	566.0	421.0
d__Bacteria;p__Firmicutes;__	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	18.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	13.0	10.0	0.0	26.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	9.0	10.0	13.0	11.0	0.0	0.0	3.0	0.0	17.0	3.0	0.0	4.0	0.0	5.0	9.0	0.0	15.0	0.0	0.0	3.0	0.0	0.0	2.0	7.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes	102.0	145.0	91.0	185.0	177.0	137.0	146.0	127.0	113.0	86.0	28.0	158.0	177.0	202.0	170.0	163.0	6.0	71.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	3.0	161.0	79.0	59.0	198.0	84.0	170.0	103.0	304.0	167.0	228.0	135.0	226.0	312.0	191.0	86.0	174.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	180.0	96.0	63.0	88.0	72.0	148.0	53.0	99.0	247.0	117.0	208.0	195.0	91.0	78.0	114.0	69.0	90.0	105.0	61.0	0.0	115.0	0.0	143.0	103.0	54.0	134.0	35.0	0.0	117.0	0.0	114.0	99.0	343.0	182.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	9.0	53.0	18.0	48.0	30.0	27.0	0.0	59.0	17.0	0.0	3.0	32.0	27.0	70.0	32.0	84.0	2.0	354.0	26.0	0.0	6.0	0.0	12.0	382.0	2.0	439.0	21.0	0.0	0.0	0.0	0.0	273.0	37.0	41.0	6.0	92.0	0.0	53.0	19.0	82.0	24.0	63.0	25.0	70.0	57.0	102.0	46.0	77.0	0.0	26.0	4.0	0.0	0.0	0.0	0.0	20.0	2.0	0.0	0.0	13.0	5.0	0.0	0.0	23.0	111.0	25.0	18.0	28.0	24.0	28.0	27.0	52.0	70.0	41.0	104.0	39.0	43.0	34.0	20.0	47.0	528.0	555.0	597.0	0.0	541.0	0.0	265.0	524.0	628.0	607.0	654.0	0.0	422.0	0.0	632.0	649.0	133.0	524.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	0.0	0.0	31.0	0.0	0.0	0.0	2.0	3.0	16.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	10.0	85.0	47.0	0.0	0.0	0.0	0.0	124.0	29.0	117.0	9.0	0.0	0.0	0.0	0.0	122.0	0.0	50.0	0.0	15.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	5.0	71.0	0.0	0.0	0.0	34.0	0.0	0.0	7.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	75.0	126.0	132.0	27.0	127.0	18.0	150.0	102.0	128.0	150.0	147.0	11.0	86.0	6.0	98.0	248.0	6.0	72.0
