# Constructed from biom file
#OTU ID	B24F10	B24F11	B24F12	B24F13	B24F14	B24F15	B24F16	B24F1	B24F2	B24F3	B24F4	B24F5	B24F6	B24F7	B24F8	B24F9	B24M10	B24M11	B24M12	B24M13	B24M14	B24M15	B24M16	B24M1	B24M2	B24M3	B24M4	B24M5	B24M6	B24M7	B24M8	B24M9	B72F10	B72F11	B72F12	B72F13	B72F14	B72F15	B72F16	B72F1	B72F2	B72F3	B72F4	B72F5	B72F6	B72F7	B72F8	B72F9	B72M10	B72M11	B72M12	B72M13	B72M14	B72M15	B72M16	B72M1	B72M2	B72M3	B72M4	B72M5	B72M6	B72M7	B72M8	B72M9	B8F10	B8F11	B8F12	B8F13	B8F14	B8F15	B8F16	B8F1	B8F2	B8F3	B8F4	B8F5	B8F6	B8F7	B8F8	B8F9	B8M10	B8M11	B8M12	B8M13	B8M14	B8M15	B8M16	B8M1	B8M2	B8M3	B8M4	B8M5	B8M6	B8M7	B8M8	B8M9	FStool	MStool
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales	1633.0	22692.0	1011.0	32888.0	577.0	18383.0	588.0	21143.0	1644.0	7818.0	274.0	17591.0	805.0	24508.0	592.0	28878.0	357.0	5212.0	331.0	124.0	92.0	14.0	152.0	4718.0	667.0	5656.0	432.0	29.0	5.0	40.0	93.0	4503.0	435.0	21748.0	270.0	29197.0	169.0	21773.0	478.0	29331.0	487.0	24771.0	461.0	33120.0	833.0	33824.0	165.0	29524.0	50.0	152.0	8.0	0.0	9.0	31.0	16.0	178.0	92.0	151.0	13.0	247.0	0.0	0.0	12.0	312.0	22438.0	14029.0	4247.0	16349.0	5259.0	21003.0	4664.0	17452.0	23592.0	27834.0	26874.0	45879.0	8798.0	16650.0	7297.0	26198.0	16379.0	8983.0	17258.0	162.0	17427.0	139.0	14167.0	8232.0	17371.0	10268.0	17445.0	67.0	10341.0	101.0	16778.0	10816.0	44640.0	17068.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales	0.0	167.0	0.0	221.0	0.0	128.0	17.0	233.0	31.0	105.0	0.0	167.0	16.0	201.0	18.0	223.0	15.0	143.0	14.0	0.0	0.0	0.0	8.0	142.0	8.0	127.0	0.0	0.0	0.0	0.0	0.0	141.0	18.0	264.0	8.0	272.0	0.0	82.0	0.0	175.0	21.0	236.0	0.0	245.0	0.0	230.0	0.0	320.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	256.0	104.0	69.0	79.0	64.0	123.0	86.0	157.0	246.0	228.0	295.0	132.0	96.0	54.0	96.0	279.0	272.0	209.0	266.0	0.0	412.0	0.0	294.0	174.0	359.0	191.0	340.0	0.0	259.0	3.0	318.0	260.0	334.0	358.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales	3399.0	27202.0	2031.0	34303.0	1728.0	23111.0	1707.0	28729.0	3608.0	11584.0	543.0	21479.0	1975.0	28306.0	1543.0	38718.0	1122.0	20001.0	1123.0	107.0	269.0	79.0	437.0	17934.0	1337.0	22098.0	1234.0	31.0	76.0	143.0	277.0	18611.0	1384.0	29784.0	1606.0	38781.0	551.0	28364.0	1328.0	35994.0	1690.0	32352.0	1246.0	40971.0	2309.0	39585.0	608.0	36629.0	200.0	1142.0	111.0	6.0	13.0	43.0	76.0	866.0	248.0	855.0	175.0	1011.0	121.0	15.0	121.0	963.0	37894.0	21372.0	7758.0	14432.0	9127.0	17433.0	8982.0	23761.0	42077.0	36702.0	44656.0	31500.0	13583.0	14239.0	12040.0	33902.0	34354.0	33017.0	34802.0	642.0	34893.0	525.0	30263.0	27344.0	35820.0	34411.0	37570.0	645.0	21711.0	531.0	35884.0	35802.0	50970.0	42756.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales	10.0	921.0	41.0	1196.0	25.0	1042.0	37.0	1332.0	167.0	416.0	21.0	609.0	26.0	874.0	0.0	1518.0	913.0	78051.0	871.0	147761.0	506.0	134839.0	980.0	64902.0	1496.0	80080.0	1188.0	49353.0	312.0	67935.0	730.0	68658.0	237.0	1225.0	686.0	2947.0	161.0	2258.0	414.0	1706.0	0.0	1705.0	281.0	2038.0	923.0	2644.0	376.0	1823.0	1397.0	88724.0	264.0	39266.0	89.0	71631.0	152.0	141356.0	890.0	90813.0	1255.0	152246.0	272.0	122013.0	416.0	177706.0	896.0	814.0	252.0	236.0	124.0	416.0	163.0	624.0	880.0	1274.0	937.0	675.0	157.0	200.0	111.0	1026.0	2722.0	22150.0	2946.0	170538.0	2582.0	149099.0	9806.0	18651.0	2614.0	25796.0	2847.0	136145.0	1661.0	129225.0	3045.0	24540.0	932.0	2237.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	5535.0	11283.0	4626.0	13209.0	5195.0	7916.0	7755.0	10837.0	6496.0	3683.0	1371.0	7513.0	6042.0	11079.0	7926.0	14098.0	1127.0	3581.0	1331.0	61.0	983.0	42.0	1238.0	2806.0	1153.0	4100.0	1116.0	0.0	601.0	142.0	786.0	3365.0	3826.0	12195.0	5281.0	15605.0	2197.0	11485.0	8915.0	14388.0	5032.0	12230.0	4735.0	14423.0	8950.0	16477.0	2593.0	14048.0	1492.0	384.0	397.0	0.0	467.0	125.0	519.0	81.0	1781.0	419.0	443.0	297.0	2123.0	9.0	1376.0	171.0	19852.0	8336.0	3337.0	4160.0	6111.0	5611.0	5663.0	17209.0	27374.0	28669.0	28333.0	15494.0	9669.0	4966.0	9183.0	19868.0	29245.0	13548.0	30454.0	427.0	32287.0	527.0	24444.0	11359.0	29222.0	14717.0	33270.0	254.0	14391.0	201.0	28337.0	16829.0	17391.0	16186.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales	109.0	291.0	88.0	627.0	80.0	328.0	80.0	247.0	0.0	178.0	0.0	340.0	0.0	410.0	82.0	563.0	316.0	6459.0	451.0	24.0	61.0	0.0	180.0	5103.0	453.0	6014.0	304.0	0.0	38.0	0.0	0.0	5104.0	75.0	521.0	116.0	655.0	69.0	405.0	148.0	679.0	90.0	396.0	45.0	643.0	89.0	897.0	0.0	568.0	0.0	134.0	108.0	0.0	0.0	0.0	0.0	211.0	0.0	153.0	46.0	277.0	59.0	0.0	84.0	276.0	796.0	279.0	192.0	282.0	156.0	279.0	198.0	463.0	958.0	538.0	1026.0	1156.0	174.0	317.0	204.0	472.0	10566.0	11575.0	11139.0	91.0	11082.0	136.0	11042.0	9835.0	10298.0	11837.0	12436.0	66.0	8188.0	65.0	12931.0	11913.0	1235.0	11385.0
d__Bacteria;p__Firmicutes;c__Clostridia;__	0.0	5.0	0.0	30.0	0.0	5.0	16.0	11.0	0.0	0.0	0.0	18.0	0.0	10.0	0.0	39.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	0.0	15.0	0.0	19.0	0.0	51.0	0.0	5.0	0.0	24.0	0.0	11.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	51.0	29.0	11.0	0.0	4.0	2.0	33.0	0.0	11.0	11.0	0.0	26.0	0.0	0.0	0.0	3.0	5.0	28.0	0.0	2.0	0.0	5.0	3.0	62.0	3.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	144.0	1234.0	172.0	1256.0	133.0	1024.0	150.0	1047.0	274.0	478.0	36.0	1024.0	216.0	1314.0	179.0	1689.0	137.0	2969.0	162.0	2027.0	27.0	2597.0	54.0	2571.0	99.0	3152.0	165.0	920.0	9.0	1332.0	50.0	2926.0	145.0	1170.0	172.0	1911.0	91.0	1220.0	214.0	1469.0	133.0	1411.0	139.0	1303.0	435.0	1724.0	128.0	1269.0	58.0	1574.0	0.0	578.0	3.0	1712.0	13.0	2656.0	45.0	1683.0	58.0	2352.0	15.0	2096.0	0.0	3271.0	2836.0	784.0	484.0	875.0	555.0	968.0	470.0	750.0	2841.0	1697.0	3384.0	1943.0	848.0	680.0	658.0	1516.0	4114.0	3765.0	3972.0	2783.0	3989.0	2319.0	3198.0	3348.0	3667.0	3825.0	4358.0	2075.0	2331.0	1865.0	4104.0	4048.0	4016.0	3850.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales	6.0	50.0	2.0	71.0	0.0	38.0	3.0	55.0	5.0	23.0	0.0	42.0	0.0	44.0	9.0	69.0	0.0	15.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	5.0	0.0	0.0	0.0	0.0	11.0	5.0	50.0	11.0	90.0	0.0	55.0	0.0	99.0	6.0	66.0	2.0	76.0	0.0	94.0	5.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	22.0	21.0	22.0	24.0	32.0	20.0	42.0	103.0	65.0	96.0	68.0	23.0	25.0	34.0	72.0	26.0	37.0	63.0	0.0	67.0	0.0	52.0	27.0	6.0	33.0	59.0	0.0	49.0	4.0	73.0	28.0	119.0	57.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	12639.0	476.0	24479.0	435.0	28236.0	438.0	27855.0	578.0	12432.0	222.0	5875.0	1383.0	29893.0	677.0	36038.0	680.0	17013.0	1179.0	21804.0	188.0	7685.0	275.0	9387.0	553.0	24619.0	1661.0	22605.0	166.0	2968.0	662.0	9348.0	495.0	30966.0	3329.0	31108.0	341.0	15064.0	2299.0	30263.0	607.0	38993.0	546.0	33059.0	600.0	69015.0	820.0	11232.0	410.0	39478.0	6627.0	20856.0	20.0	4755.0	1204.0	20417.0	203.0	37908.0	9834.0	20232.0	2603.0	28757.0	634.0	15572.0	339.0	1552.0	93.0	420.0	98.0	1475.0	55.0	1387.0	132.0	1275.0	219.0	1600.0	199.0	1940.0	53.0	2008.0	128.0	582.0	497.0	703.0	291.0	478.0	197.0	2094.0	623.0	517.0	218.0	371.0	19.0	328.0	140.0	804.0	451.0	305.0	325.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.0	46.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	59.0	0.0	117.0	0.0	59.0	152.0	8593.0	99.0	13199.0	0.0	20013.0	147.0	6699.0	0.0	8721.0	122.0	4669.0	64.0	9605.0	123.0	6678.0	0.0	0.0	0.0	152.0	0.0	128.0	66.0	68.0	0.0	0.0	45.0	0.0	0.0	95.0	63.0	51.0	166.0	9571.0	0.0	3312.0	240.0	12646.0	0.0	17910.0	128.0	8729.0	0.0	14474.0	73.0	15404.0	0.0	17297.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	25.0	11.0	0.0	0.0	0.0	0.0	0.0	197.0	2900.0	310.0	15160.0	229.0	15967.0	1028.0	1983.0	274.0	1688.0	287.0	12516.0	278.0	8450.0	366.0	1928.0	24.0	347.0
d__Bacteria;__;__;__	6.0	0.0	64.0	0.0	3.0	2.0	60.0	42.0	41.0	21.0	0.0	0.0	7.0	0.0	2.0	57.0	6.0	3.0	0.0	0.0	0.0	0.0	3.0	12.0	13.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	84.0	21.0	6.0	0.0	2.0	52.0	41.0	146.0	54.0	6.0	119.0	0.0	71.0	10.0	28.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	4.0	0.0	5.0	38.0	0.0	0.0	0.0	33.0	2.0	3.0	21.0	0.0	3.0	24.0	74.0	75.0	180.0	16.0	135.0	0.0	12.0	7.0	76.0	87.0	10.0	36.0	0.0	86.0	3.0	131.0	8.0	77.0	104.0	8.0	0.0	32.0	0.0	42.0	0.0	93.0	27.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	72401.0	700.0	83148.0	525.0	39942.0	430.0	52314.0	1048.0	78752.0	381.0	20355.0	3912.0	37622.0	714.0	58858.0	1211.0	174601.0	6384.0	146697.0	1055.0	109223.0	1272.0	199435.0	2280.0	128533.0	6217.0	148422.0	723.0	45078.0	8776.0	133331.0	1084.0	43312.0	8130.0	77794.0	778.0	16079.0	3029.0	54386.0	605.0	60342.0	720.0	79568.0	897.0	76159.0	1675.0	26265.0	448.0	153913.0	27607.0	140198.0	222.0	36736.0	7333.0	102234.0	1285.0	132235.0	41925.0	201018.0	19365.0	137101.0	1576.0	149651.0	2214.0	4648.0	32.0	528.0	0.0	6681.0	35.0	6206.0	33.0	4887.0	62.0	4760.0	23.0	9277.0	24.0	5556.0	69.0	797.0	279.0	605.0	576.0	700.0	707.0	4664.0	228.0	926.0	197.0	1074.0	235.0	1273.0	151.0	1769.0	235.0	76.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	0.0	0.0	0.0	23.0	3.0	0.0	0.0	28.0	0.0	12.0	0.0	17.0	0.0	30.0	0.0	0.0	5.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	6.0	41.0	0.0	18.0	0.0	36.0	0.0	0.0	0.0	35.0	0.0	44.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	12.0	0.0	11.0	18.0	32.0	28.0	48.0	0.0	0.0	8.0	21.0	20.0	0.0	25.0	0.0	0.0	18.0	0.0	4.0	0.0	22.0	23.0	23.0	0.0	0.0	0.0	0.0	23.0	42.0	24.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	81.0	337.0	0.0	433.0	33.0	304.0	20.0	498.0	80.0	198.0	0.0	401.0	24.0	364.0	40.0	579.0	62.0	102.0	0.0	3.0	0.0	4.0	23.0	128.0	68.0	127.0	6.0	39.0	0.0	196.0	16.0	102.0	32.0	448.0	15.0	433.0	0.0	347.0	31.0	681.0	40.0	647.0	25.0	466.0	0.0	497.0	13.0	476.0	0.0	27.0	0.0	0.0	0.0	46.0	8.0	4.0	7.0	0.0	0.0	2.0	0.0	6.0	0.0	61.0	447.0	260.0	97.0	530.0	131.0	525.0	133.0	372.0	505.0	475.0	569.0	1173.0	186.0	504.0	174.0	378.0	953.0	418.0	959.0	0.0	1178.0	9.0	725.0	316.0	950.0	529.0	1082.0	14.0	759.0	12.0	720.0	417.0	448.0	397.0
d__Bacteria;p__Firmicutes;__;__	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	18.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	13.0	10.0	0.0	26.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	9.0	10.0	13.0	11.0	0.0	0.0	3.0	0.0	17.0	3.0	0.0	4.0	0.0	5.0	9.0	0.0	15.0	0.0	0.0	3.0	0.0	0.0	2.0	7.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales	102.0	69.0	86.0	61.0	177.0	72.0	146.0	65.0	113.0	41.0	28.0	71.0	177.0	128.0	170.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.0	0.0	59.0	95.0	84.0	81.0	103.0	165.0	167.0	93.0	131.0	115.0	312.0	128.0	86.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	126.0	39.0	39.0	55.0	72.0	99.0	53.0	51.0	164.0	59.0	134.0	147.0	70.0	78.0	99.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	9.0	53.0	18.0	48.0	30.0	27.0	0.0	59.0	17.0	0.0	3.0	32.0	27.0	70.0	32.0	84.0	2.0	354.0	26.0	0.0	6.0	0.0	12.0	382.0	2.0	439.0	21.0	0.0	0.0	0.0	0.0	273.0	37.0	41.0	6.0	92.0	0.0	53.0	19.0	82.0	24.0	63.0	25.0	70.0	57.0	102.0	46.0	77.0	0.0	26.0	4.0	0.0	0.0	0.0	0.0	20.0	2.0	0.0	0.0	13.0	5.0	0.0	0.0	23.0	111.0	25.0	18.0	28.0	24.0	28.0	27.0	52.0	70.0	41.0	104.0	39.0	43.0	34.0	20.0	47.0	528.0	555.0	597.0	0.0	541.0	0.0	265.0	524.0	628.0	607.0	654.0	0.0	422.0	0.0	632.0	649.0	133.0	524.0
