# Constructed from biom file
#OTU ID	B24F10	B24F11	B24F12	B24F13	B24F14	B24F15	B24F16	B24F1	B24F2	B24F3	B24F4	B24F5	B24F6	B24F7	B24F8	B24F9	B24M10	B24M11	B24M12	B24M13	B24M14	B24M15	B24M16	B24M1	B24M2	B24M3	B24M4	B24M5	B24M6	B24M7	B24M8	B24M9	B72F10	B72F11	B72F12	B72F13	B72F14	B72F15	B72F16	B72F1	B72F2	B72F3	B72F4	B72F5	B72F6	B72F7	B72F8	B72F9	B72M10	B72M11	B72M12	B72M13	B72M14	B72M15	B72M16	B72M1	B72M2	B72M3	B72M4	B72M5	B72M6	B72M7	B72M8	B72M9	B8F10	B8F11	B8F12	B8F13	B8F14	B8F15	B8F16	B8F1	B8F2	B8F3	B8F4	B8F5	B8F6	B8F7	B8F8	B8F9	B8M10	B8M11	B8M12	B8M13	B8M14	B8M15	B8M16	B8M1	B8M2	B8M3	B8M4	B8M5	B8M6	B8M7	B8M8	B8M9	FStool	MStool
d__Bacteria;p__Firmicutes	18006.0	53039.0	27827.0	70806.0	30916.0	44469.0	30528.0	53467.0	18415.0	20846.0	6777.0	42642.0	33108.0	56410.0	38579.0	72332.0	19715.0	116246.0	24408.0	163409.0	8579.0	157913.0	11186.0	97627.0	28361.0	121588.0	25891.0	55168.0	3434.0	79717.0	10621.0	102108.0	33364.0	57819.0	33931.0	74279.0	16122.0	56495.0	32878.0	70038.0	41497.0	61520.0	35385.0	78812.0	73837.0	79485.0	12663.0	70416.0	41349.0	107811.0	21269.0	43182.0	5109.0	87289.0	20674.0	163249.0	39320.0	112093.0	21733.0	172933.0	29238.0	140206.0	16126.0	199969.0	66255.0	37445.0	13392.0	32250.0	16773.0	40256.0	15905.0	43203.0	71529.0	68429.0	78385.0	80780.0	25628.0	32073.0	22446.0	63402.0	58758.0	71718.0	60495.0	189581.0	60245.0	168308.0	61053.0	60579.0	60700.0	76652.0	63343.0	151478.0	37085.0	140390.0	61510.0	78112.0	101926.0	67198.0
d__Bacteria;p__Bacteroidota	5535.0	11283.0	4626.0	13209.0	5195.0	7916.0	7755.0	10837.0	6496.0	3683.0	1371.0	7513.0	6042.0	11079.0	7931.0	14098.0	1127.0	3581.0	1331.0	61.0	983.0	42.0	1238.0	2806.0	1153.0	4103.0	1116.0	0.0	601.0	142.0	786.0	3367.0	3826.0	12195.0	5281.0	15605.0	2197.0	11485.0	8915.0	14388.0	5032.0	12230.0	4735.0	14423.0	8950.0	16477.0	2593.0	14048.0	1499.0	386.0	397.0	0.0	467.0	125.0	519.0	81.0	1781.0	419.0	443.0	297.0	2123.0	9.0	1376.0	179.0	19852.0	8336.0	3337.0	4160.0	6111.0	5611.0	5663.0	17218.0	27374.0	28669.0	28402.0	15494.0	9669.0	4966.0	9183.0	19868.0	29248.0	13548.0	30454.0	427.0	32287.0	527.0	24444.0	11359.0	29222.0	14717.0	33272.0	254.0	14391.0	209.0	28337.0	16829.0	17391.0	16186.0
d__Bacteria;p__Actinobacteriota	118.0	346.0	106.0	675.0	110.0	359.0	80.0	306.0	17.0	178.0	3.0	372.0	27.0	480.0	116.0	647.0	318.0	6815.0	477.0	24.0	69.0	0.0	192.0	5496.0	455.0	6453.0	325.0	0.0	38.0	0.0	0.0	5377.0	112.0	566.0	122.0	753.0	69.0	458.0	167.0	764.0	114.0	607.0	70.0	717.0	146.0	1006.0	46.0	645.0	0.0	160.0	112.0	0.0	0.0	0.0	0.0	233.0	2.0	395.0	46.0	290.0	64.0	0.0	84.0	299.0	915.0	304.0	210.0	310.0	180.0	313.0	225.0	519.0	1040.0	583.0	1141.0	1195.0	220.0	351.0	228.0	519.0	11097.0	12348.0	11739.0	91.0	11638.0	142.0	11307.0	10359.0	10926.0	12444.0	13097.0	66.0	8610.0	65.0	13563.0	12562.0	1376.0	11911.0
d__Bacteria;__	6.0	0.0	64.0	0.0	3.0	2.0	60.0	42.0	41.0	21.0	0.0	0.0	7.0	0.0	2.0	57.0	6.0	3.0	0.0	0.0	0.0	0.0	3.0	12.0	13.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	84.0	21.0	6.0	0.0	2.0	52.0	41.0	146.0	54.0	6.0	119.0	0.0	71.0	10.0	28.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	4.0	0.0	5.0	38.0	0.0	0.0	0.0	33.0	2.0	3.0	21.0	0.0	3.0	24.0	74.0	75.0	180.0	16.0	135.0	0.0	12.0	7.0	76.0	87.0	10.0	36.0	0.0	86.0	3.0	131.0	8.0	77.0	104.0	8.0	0.0	32.0	0.0	42.0	0.0	93.0	27.0
d__Bacteria;p__Proteobacteria	72482.0	1037.0	83148.0	981.0	39980.0	734.0	52339.0	1574.0	78832.0	591.0	20355.0	4330.0	37648.0	1108.0	58898.0	1968.0	174701.0	6535.0	146710.0	1071.0	109226.0	1283.0	199458.0	2408.0	128601.0	6466.0	148428.0	769.0	45078.0	8972.0	133362.0	1186.0	43344.0	8678.0	77821.0	1252.0	16087.0	3394.0	54417.0	1322.0	60429.0	1367.0	79615.0	1398.0	76227.0	2216.0	26278.0	955.0	153919.0	27650.0	140198.0	228.0	36736.0	7381.0	102242.0	1289.0	132319.0	41925.0	201018.0	19498.0	137101.0	1582.0	149731.0	2377.0	5095.0	296.0	635.0	530.0	6824.0	564.0	6350.0	446.0	5433.0	623.0	5439.0	1196.0	9463.0	536.0	5751.0	467.0	1831.0	722.0	1588.0	584.0	1896.0	751.0	5481.0	544.0	1923.0	751.0	2190.0	309.0	2032.0	199.0	2495.0	675.0	566.0	421.0
d__Bacteria;p__Desulfobacterota	0.0	0.0	31.0	42.0	0.0	0.0	39.0	3.0	40.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	10.0	85.0	47.0	67.0	0.0	0.0	77.0	124.0	59.0	117.0	31.0	0.0	0.0	0.0	0.0	122.0	0.0	50.0	0.0	46.0	0.0	0.0	0.0	53.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	5.0	225.0	0.0	0.0	0.0	34.0	2.0	9.0	7.0	21.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	75.0	126.0	132.0	27.0	127.0	18.0	150.0	102.0	128.0	150.0	147.0	87.0	86.0	6.0	142.0	346.0	6.0	72.0
d__Bacteria;p__Cloacimonadota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Cyanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
d__Bacteria;p__Chloroflexi	0.0	0.0	0.0	0.0	0.0	0.0	2.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	15.0	59.0	92.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0
d__Archaea;p__Thermoplasmatota	16.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	9.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0
