# Constructed from biom file
#OTU ID	B24F10	B24F11	B24F12	B24F13	B24F14	B24F15	B24F16	B24F1	B24F2	B24F3	B24F4	B24F5	B24F6	B24F7	B24F8	B24F9	B24M10	B24M11	B24M12	B24M13	B24M14	B24M15	B24M16	B24M1	B24M2	B24M3	B24M4	B24M5	B24M6	B24M7	B24M8	B24M9	B72F10	B72F11	B72F12	B72F13	B72F14	B72F15	B72F16	B72F1	B72F2	B72F3	B72F4	B72F5	B72F6	B72F7	B72F8	B72F9	B72M10	B72M11	B72M12	B72M13	B72M14	B72M15	B72M16	B72M1	B72M2	B72M3	B72M4	B72M5	B72M6	B72M7	B72M8	B72M9	B8F10	B8F11	B8F12	B8F13	B8F14	B8F15	B8F16	B8F1	B8F2	B8F3	B8F4	B8F5	B8F6	B8F7	B8F8	B8F9	B8M10	B8M11	B8M12	B8M13	B8M14	B8M15	B8M16	B8M1	B8M2	B8M3	B8M4	B8M5	B8M6	B8M7	B8M8	B8M9	FStool	MStool
d__Bacteria;p__Firmicutes;c__Clostridia	0.05249420255191706	0.7789970321893311	0.02663799951645771	0.804102061530923	0.030759540181617764	0.8012185549284192	0.026177549199916304	0.7800033182003288	0.05388852509533531	0.7922903748173309	0.029397319862485092	0.73057221503181	0.036729487713452726	0.7838975694444444	0.020601557909898982	0.7832820812102983	0.01306432097693961	0.8406017858482779	0.014103067995283564	0.9787183659591004	0.007294479921249906	0.973005372564772	0.008222521698975601	0.8695403886893248	0.022963654013439062	0.8412334573133812	0.016952911737943586	0.9667512781094705	0.009297877967894854	0.8749338646674096	0.008447707790817348	0.8785246558866765	0.02577933189494829	0.670483172108021	0.022105855663772666	0.7809464765447407	0.02555474981870921	0.7351115070857811	0.023831005195532464	0.7811583493060527	0.02055509960456614	0.7829317216078545	0.01698508484195942	0.8031402863756821	0.025603166624780096	0.7720639332870048	0.02926184178889156	0.7963922315662315	0.009212632434767144	0.7321320923941012	0.002364387265644774	0.980972126238194	0.008295519001701645	0.8898254127327391	0.0019766688269604667	0.9715587271394561	0.007830158217629965	0.649435531788473	0.006463895359254614	0.870081839842536	0.0027639874968119244	0.9694653258677348	0.0032810595013267672	0.9676255268801301	0.6693868692349431	0.7859560614880452	0.7068896853843091	0.8368168280969118	0.4908658993576017	0.8358282366023695	0.49685802534881246	0.6866579889358932	0.6369282998112903	0.6738521211136608	0.6448358277403935	0.7937550607287449	0.5055135615829257	0.8231851969002056	0.5228233417519607	0.7314423943461557	0.533849014797816	0.6836054919164839	0.5329976450766786	0.9779407909225332	0.5236240474174428	0.9763066119986804	0.5421874695318136	0.6794623176710068	0.5483025170913611	0.6907401400522811	0.522603381362359	0.9814520367936925	0.5512243717462562	0.9819752052626723	0.5321801068430425	0.6766518930772988	0.8013892780039222	0.6558576423315765
d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.057558520428855175	0.17172209116505593	0.03994404724898974	0.15410731160967414	0.06817227442129022	0.1479460247448884	0.08540466724667688	0.16345153165110632	0.06255537151881668	0.14546388087997156	0.048095137865712484	0.13695608582314017	0.07863910870470638	0.16028645833333333	0.07510945169910734	0.1582231599739624	0.005753610684255936	0.026870263375103173	0.0076931079925091905	0.00037037936561908	0.00827044263274355	0.0002636071500301265	0.005833513961794724	0.025845076908906695	0.007267936611994302	0.02957500792895655	0.006346678798908098	0.0	0.012227625073752314	0.0015985050600565106	0.005429189144384657	0.029996881821016525	0.047441906604171316	0.15360489721886336	0.04503897521619731	0.1697284127864609	0.06372733865119652	0.15988250689088732	0.09245144095655872	0.166131676789137	0.04692979183764829	0.16139248858507746	0.03952057824406774	0.151075218133635	0.05623272178939432	0.16594656111832895	0.06234671796104833	0.16317427867862286	0.007617063441652481	0.0028376927940246717	0.002450813954206202	0.0	0.011037058044999055	0.001318634949100691	0.0042044718081659105	0.0004906801068592233	0.010269154481295263	0.002706089023224573	0.001984411395807203	0.0015383818502020098	0.01259215763032557	6.346699011325331e-05	0.008223566254691497	0.000882447188740171	0.21543136190992945	0.17972101847659702	0.18985037264607157	0.11161492849668643	0.20446332976445397	0.11999059065052821	0.20105087513757233	0.2801496908558412	0.2595848387433264	0.2910972117864468	0.2504872692636722	0.15682186234817813	0.21496220542463318	0.13089778058938267	0.24413133058620232	0.23559265759142436	0.28930917148057295	0.13758225688520595	0.2915318489019931	0.0022389546651006217	0.30376328911468625	0.0031045289598944344	0.2383245909950666	0.1368175084012864	0.28377486016159104	0.1404052739033372	0.29684614355176875	0.001668856767411301	0.2312327270390128	0.0014831425590950702	0.26698512300140387	0.15506740258184598	0.14330328449710772	0.16892970829202109
d__Bacteria;p__Actinobacteriota;c__Actinobacteria	0.0011334920915528842	0.004459325774294194	0.0007598521742133803	0.0073151097266459	0.0010498136580756915	0.006204911598699211	0.0008810281598625596	0.003725434005520279	0.0	0.007030293455507722	0.0	0.006197932807116685	0.0	0.005931712962962963	0.0007960123571442109	0.006318601153733923	0.0016132572992234922	0.04848052825091918	0.002606755600767577	0.00014572302909603147	0.0005300487140008582	0.0	0.0008481684274014947	0.047103251358570505	0.0028554859368893483	0.04334976789781737	0.0017288444040036396	0.0	0.000773127708490163	0.0	0.0	0.045471958661855764	0.0009299903281005877	0.0066127569528415964	0.0009893052689034063	0.00718939319781164	0.002001450326323423	0.005637998719269427	0.001534807993445955	0.007874743089393345	0.0008393643214205774	0.007178864578109742	0.00037559155670180536	0.006777068996218668	0.0005591857250565468	0.00910455126849362	0.0	0.006597593272313339	0.0	0.0009851057885992384	0.0006667201689024428	0.0	0.0	0.0	0.0	0.0012903069476668464	0.0	0.0025510863106771036	0.0002060562623185809	0.001434787112814669	0.000349946914832411	0.0	0.0005020200329898879	0.0013606448273312136	0.008724905046120456	0.006015134855442727	0.01092336576207544	0.007566204287515763	0.00521948608137045	0.006094692271502502	0.007029502609436575	0.0075984380084607875	0.009198410666363213	0.00546270535913734	0.00914566925661672	0.011700404858299596	0.0039350822587816804	0.008355738309874005	0.005529708892728965	0.0055969264336195035	0.10454419561604811	0.11975993175725079	0.10666079531312822	0.00047715427289029644	0.1044030482641829	0.0008365144446015364	0.10765750833609579	0.11846114932006793	0.1000038844002486	0.11292907706691599	0.11095151001472098	0.00043363994743758215	0.13156372517513978	0.00046126443225444764	0.12183310249959957	0.10976991900633022	0.010242423243626295	0.1188436048635391
d__Bacteria;p__Firmicutes;c__Bacilli	0.13293054501211485	0.02602541663495929	0.21285359030152315	0.01977529662944944	0.37227704582436616	0.02732403842559713	0.30841492021188727	0.024509434246843938	0.12235661184083818	0.027647221454243847	0.2073598540658107	0.04387771843155842	0.39188098708871305	0.028804976851851852	0.34320451831776055	0.02667729119436152	0.08755494519519903	0.031124784272529453	0.12697385152474971	0.013449021226987904	0.06488469337102569	0.018113577023498695	0.04448643401720839	0.028774062816616007	0.15580993683892033	0.03475766225528357	0.12957233848953595	0.01941296342640592	0.060568452320400396	0.02244661330811748	0.06491541931161197	0.03064724486614103	0.3857723879671651	0.056668178153970176	0.266771282856022	0.024515722039133794	0.43959390862944164	0.04898794442742991	0.3160563730827863	0.024028358312357112	0.36489964933223906	0.02582543746206023	0.2772283012411214	0.019964595837392244	0.43635335511435036	0.025682085989666738	0.27314258235152683	0.019502392789109323	0.20089941309484488	0.06044432681987267	0.12875107261693838	0.013775627735544806	0.1124503686897334	0.03099319584366264	0.1655055087491899	0.01734947933388661	0.21883504774205453	0.07438192668371696	0.09088872961834797	0.025665596187713663	0.17065546836539203	0.01925165366768684	0.09306495182998255	0.018196159629273585	0.04765056972327727	0.01890778949183968	0.05143084712977186	0.026106087843095167	0.06792023554603854	0.021876737521919508	0.06592821386729152	0.014350797266514807	0.039031606497681434	0.01967792376581443	0.04454655295580622	0.02175101214574899	0.06198310360160071	0.02016447888660446	0.07087598032699721	0.01951809514774937	0.046470681332594764	0.0434641319359818	0.04549979896996037	0.01611837620730518	0.042054755856618685	0.015186860832272962	0.05162529493204376	0.048853932042927865	0.0406308266003729	0.03912495945352897	0.042217959584244104	0.013804204993429698	0.0427244681534803	0.014263715520483689	0.04627980817245635	0.04216462262847034	0.03560539890242093	0.04357355320148202
d__Bacteria;__;__	6.239406008547986e-05	0.0	0.0005526197630642765	0.0	3.9368012177838436e-05	3.7378985534332596e-05	0.0006607711198969198	0.0006334746082261203	0.00039482300373637377	0.0008294166436273154	0.0	0.0	9.110787172011662e-05	0.0	1.895267517010026e-05	0.0006397162802181769	3.063146770677517e-05	2.251069257897501e-05	0.0	0.0	0.0	0.0	1.4136140456691577e-05	0.00011052777010223818	8.194551253766342e-05	0.0	0.0	0.0	0.0	0.0	2.7629461294578408e-05	0.0	0.0	0.0010580411124546554	0.00017909836764630631	6.525924234019643e-05	0.0	2.7841968984046552e-05	0.0005392568625620923	0.0004734083088931483	0.0013616354547489368	0.0007126078809153052	5.007887422690738e-05	0.0012464779142967875	0.0	0.0007150698452024856	0.00024044241404183698	0.0003252334711703759	0.00014228003760258137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.765948613865953e-05	2.5833785424578262e-05	0.0	2.589868434683518e-05	0.0002253895383666376	0.0	0.0	0.0	0.00035811177428106346	4.31192462755751e-05	0.00017067759003242875	0.0005634407448150036	0.0	6.415465548950002e-05	0.0008520609223559484	0.0012040351448096324	0.000711217319564166	0.0018276709380013402	0.00014110965101819432	0.0013663967611336032	0.0	0.0003163055511624229	0.00018609597235145554	0.000901200018972632	0.0008605681728258289	0.0001015517101307986	0.0003446229250828052	0.0	0.0008091071596575407	1.76728403789057e-05	0.0012772263713121308	9.635884032135673e-05	0.0007477470478558111	0.0009921959968707665	7.137440335459695e-05	0.0	0.000514171861944855	0.0	0.00039571497215862517	0.0	0.0007663277245834638	0.00028179303866826696
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.7537410438526252	0.015782664941785252	0.7179566884260699	0.011445171677575163	0.5246443756233269	0.013718087691100063	0.5764016607380813	0.02374021507971222	0.7591387080620932	0.023342154113511593	0.7140601978530836	0.07893249722004485	0.48997813411078717	0.016030092592592592	0.5581373310842825	0.020549482615429507	0.8918913399735549	0.04903579200120057	0.8479758629459229	0.006466459416136397	0.9189446141161227	0.00804001807591886	0.9398554344035962	0.022179239200515795	0.8106365275273887	0.04581495257042355	0.844108280254777	0.01362125058095885	0.9171329169294623	0.10099850280864094	0.9211040732733313	0.010566172212570717	0.5374600104158916	0.10930572349858927	0.6636447370665393	0.013617428568320988	0.46662799129804206	0.047247821365927	0.5643219363469496	0.015264531325774195	0.5631388495113034	0.01803953654094856	0.6645049285958718	0.014643496841906797	0.4785059060065343	0.02231823629533392	0.6318345756191392	0.011092784463132463	0.782128610991133	0.20323320541661152	0.8654892059239322	0.005183137525915688	0.8682170542635659	0.07784165831531199	0.8282728451069346	0.00780847725606838	0.7625005765948614	0.2707703634813609	0.9004569073642716	0.10095307158396354	0.8131876605159047	0.011156086484351862	0.8943785709163061	0.011659148611008405	0.05529028757460662	0.00633852920250954	0.036126756556864086	0.014220171178664377	0.22831905781584583	0.012061075232026004	0.22544111904001135	0.007094044907256752	0.05143523655088049	0.006325772190971306	0.04742166209530193	0.012105263157894737	0.2103823921742997	0.014128314618588224	0.1528911338561744	0.0055376369586870935	0.01731027933845058	0.007332033471443659	0.015201700139763743	0.0030202292437891292	0.01783799040361276	0.004241481690937367	0.05343876138291442	0.006552401141852258	0.018674254195152267	0.007164799938941785	0.019538742918320917	0.0016557161629434955	0.0326499132334983	0.0011567092685765379	0.023507353703232616	0.006219650409575497	0.00466388701198108	0.0043938840473829776
d__Bacteria;p__Firmicutes;__	0.0	0.0	0.0	0.0	0.00034118943887459974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8935185185185186e-05	0.00017057407653090233	0.0	0.0	0.0	0.0	1.8215378637003933e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.563633123969887e-05	0.00016119832353743522	0.00012595727529222088	0.0	0.0002827900501408512	5.8013052936910804e-05	0.0	0.0	0.0	0.0	7.917865343503391e-05	0.0	5.2373021609108716e-05	0.0	4.0285625081830174e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.189353752479358e-05	0.00012916892712289132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00036651359334238836	0.0	0.0	0.0	0.0	0.0	0.0003254149040026033	0.0	9.138354690006701e-05	8.819353188637145e-05	0.00013157894736842105	0.00024455313472654513	0.0	0.0	3.5573684959446e-05	0.0	0.00017263790722235763	2.871857709023377e-05	0.0	3.763289114686236e-05	0.0	4.874909814168438e-05	0.00010840369536152632	0.0	0.00014310519185636056	0.0	0.0	4.8203612057330165e-05	0.0	0.0	1.842859380614962e-05	5.7680581420260715e-05	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes	0.0010606990214531576	0.0022068335743094135	0.0007857562256070183	0.0021583657088189655	0.0023227127184924676	0.002560460509101783	0.0016078763917491714	0.0019155065534456493	0.0010881707176148838	0.0033966586358071013	0.0009822493510138217	0.002880215833895401	0.0023037276134943775	0.0029224537037037036	0.001610977389458522	0.0018293640995712779	3.063146770677517e-05	0.0005327530577024087	0.0	0.0	0.0	0.0	0.0	0.0008934328083264253	0.0	0.0004324885390537151	0.0	0.0	0.0	0.0	0.0	2.6727248429774155e-05	0.0019963792376559283	0.000995062474808545	0.0005031811281491462	0.002153554997226482	0.002436548223350254	0.002366567363643957	0.0010681434008441445	0.0035101494122809045	0.0015574871297470716	0.003008788830531289	0.0011267746701054161	0.002367260576731714	0.0019602915305353104	0.001923638597657391	0.002067804760759798	0.0020210937137016215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8173337291082343e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.988214482082666e-05	0.0	0.0019533369506239827	0.002069723821227605	0.0035842293906810036	0.0023610850258914437	0.0024089935760171306	0.0031649630041486678	0.001881634536869386	0.0016108037748128864	0.0023422757057646533	0.0011879861097008713	0.0018344254632365262	0.001973684210526316	0.002023121387283237	0.002055986082555749	0.0030307058354379903	0.000818194754067258	0.0008902429374060299	0.0010662929563733854	0.0005839444008347533	0.0	0.0010819456204722929	0.0	0.0013942242068521733	0.0012406200691374679	0.0005243940335612181	0.0012784063805834876	0.0003122630146763617	0.0	0.0018799408702358763	0.0	0.0010740834958591254	0.0009122153934044062	0.002826348489592775	0.001899493816208318
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	9.35910901282198e-05	0.00080663572026482	0.00015542430836182778	0.0005600084001260019	0.00039368012177838434	0.0005046163047134901	0.0	0.0008898809972700261	0.00016370709911020376	0.0	0.00010524100189433803	0.0005833348524345116	0.0003514160766347355	0.0010127314814814814	0.00030324280272160415	0.0009427397813741554	1.0210489235591723e-05	0.0026562617243190514	0.00015027859339236584	0.0	5.0480829904843636e-05	0.0	5.654456182676631e-05	0.0035184673482545822	1.2607001928871294e-05	0.003164374477409682	0.00011942675159235669	0.0	0.0	0.0	0.0	0.0024321796071094482	0.0004587952285296233	0.0005164248286981056	5.117096218465895e-05	0.001000641715883012	0.0	0.0007378121780772336	0.0001970361613207645	0.0009468166177862966	0.00022383048571215399	0.0008313758610678561	0.0002086619759454474	0.000733222302527522	0.00035813018346318173	0.0010272834395866695	0.0011060351045924502	0.0008943920457185337	0.0	0.0001911399291311955	2.4693339588979362e-05	0.0	0.0	0.0	0.0	0.00012115558194054896	1.1531897227731907e-05	0.0	0.0	6.733657930177146e-05	2.9656518206136526e-05	0.0	0.0	0.00011338706894426779	0.0012045577862181227	0.0005389905784446888	0.0010240655401945725	0.0007512543264200049	0.0008029978586723769	0.0005987767845686668	0.000958568537650442	0.0008460787504067686	0.0006638028315932216	0.00041630282476697196	0.0009172127316182631	0.00039473684210526315	0.0009559804357492219	0.0008961990616268649	0.0005317027781470158	0.000557321064364654	0.005222758566115375	0.005636119912259322	0.00571499684095652	0.0	0.005089848527613134	0.0	0.002583702201509272	0.006311504041048866	0.006098508390304537	0.005790990097120723	0.005834857474238301	0.0	0.0067806414293977765	0.0	0.00595456815248217	0.0059800786900955525	0.0010959310469849535	0.005468872306006367
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	0.0	0.0	0.00026767519773425897	0.0	0.0	0.0	2.202570399656399e-05	4.524818630186573e-05	0.00015407726975078	0.0	0.0	0.0	0.0	4.340277777777778e-05	0.0	0.0	5.105244617795862e-05	0.0006378029564042921	0.0002716574572861998	0.0	0.0	0.0	0.0	0.0011421202910564612	0.00018280152796863378	0.0008433526511547444	5.1182893539581436e-05	0.0	0.0	0.0	0.0	0.0010869081028108156	0.0	0.0006297863764611044	0.0	0.00016314810585049108	0.0	0.0	0.0	0.0	3.7305080952025664e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013967917898048901	0.0	0.0	0.0	0.0	4.050550874918989e-05	0.0004301023158889488	0.0	0.0	0.0	0.00017611105355847922	0.0	0.0	4.183500274915732e-05	0.00010352732381867928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.527741275454858e-05	0.0	0.0	0.0	0.0	0.0	0.000741869114505025	0.0012795515476480624	0.0012636173919702857	0.00014157324580261544	0.00119484429391288	0.00010603704227343418	0.0014624729442505313	0.0012285752140972982	0.001243008079552517	0.0014310519185636054	0.001311504661640719	7.227332457293036e-05	0.001381836878976798	4.257825528502594e-05	0.0009233349350367921	0.002285145631962553	4.944049836022347e-05	0.0007514481031153786
