# Constructed from biom file
#OTU ID	B24F10	B24F11	B24F12	B24F13	B24F14	B24F15	B24F16	B24F1	B24F2	B24F3	B24F4	B24F5	B24F6	B24F7	B24F8	B24F9	B24M10	B24M11	B24M12	B24M13	B24M14	B24M15	B24M16	B24M1	B24M2	B24M3	B24M4	B24M5	B24M6	B24M7	B24M8	B24M9	B72F10	B72F11	B72F12	B72F13	B72F14	B72F15	B72F16	B72F1	B72F2	B72F3	B72F4	B72F5	B72F6	B72F7	B72F8	B72F9	B72M10	B72M11	B72M12	B72M13	B72M14	B72M15	B72M16	B72M1	B72M2	B72M3	B72M4	B72M5	B72M6	B72M7	B72M8	B72M9	B8F10	B8F11	B8F12	B8F13	B8F14	B8F15	B8F16	B8F1	B8F2	B8F3	B8F4	B8F5	B8F6	B8F7	B8F8	B8F9	B8M10	B8M11	B8M12	B8M13	B8M14	B8M15	B8M16	B8M1	B8M2	B8M3	B8M4	B8M5	B8M6	B8M7	B8M8	B8M9	FStool	MStool
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	0.016316046712352983	0.32373487558024505	0.007909370358857458	0.3644721337486729	0.007099364862736864	0.3261690277725863	0.006068081451053379	0.2996033242334203	0.01453141250337044	0.28958489671787985	0.009506770504455203	0.30016224000583336	0.009930758017492712	0.3347511574074074	0.005392036085893524	0.30506610401562256	0.0018123618393175308	0.03679747880243116	0.0018091230666080966	0.0007286151454801574	0.0007572124485726546	1.882908214500904e-05	0.0006738226951022986	0.039532099106567194	0.004135096632669785	0.037237263212524865	0.002416969972702457	0.0005183940509813736	0.00010172733006449513	0.00037148357029482285	0.0005871260525097912	0.03709742082052653	0.005319544676735362	0.25972390165255943	0.0023026932983096523	0.3003012801688039	0.004902102973168963	0.2862989670629507	0.004697756898858227	0.32130568320901554	0.004448630903529061	0.30829528359154373	0.0037475690879802356	0.3316259728288764	0.005221161095752702	0.32332235550049854	0.0037028131762442897	0.32601170840496213	0.0002388272059757616	0.0010365665387499449	4.9386679177958724e-05	0.0	0.0002127056154282473	0.0002531779102273327	0.00012961762799740766	0.0010601113419798033	0.0005304672724756677	0.0009429331679971066	5.823329152481634e-05	0.001279395006733658	0.0	0.0	7.171714756998399e-05	0.0014345929157731272	0.23048290830168203	0.2850828967509648	0.22182397451214655	0.4217219822382013	0.16775963597430407	0.43460502117103633	0.15617566656015905	0.2639277578913114	0.2098849724521825	0.26782486850922976	0.2221154100558265	0.4539574898785425	0.18279235215651402	0.42753966998787496	0.1816828392928353	0.2929730114310108	0.1515589142992799	0.08499878137947843	0.1557121249832475	0.0007865180322367524	0.15360805343870543	0.0007540411894999765	0.12964335159799545	0.09139636004480686	0.15725994406463642	0.09223606632448625	0.14518445822366954	0.00042706964520367936	0.15452471238511473	0.0006670593327987396	0.1484590670548442	0.09252075520377417	0.34741838197729036	0.16537076658143296
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae	0.0	0.0025416634959287724	0.0	0.002578372008913467	0.0	0.002392255074197286	0.00018721848397079392	0.0035142758027782387	0.0002985247101421363	0.004147083218136578	0.0	0.003044278761142607	0.00020824656393169514	0.002907986111111111	0.00017057407653090233	0.0025027496576956747	7.657866926693793e-05	0.001073009679597809	8.09192425958893e-05	0.0	0.0	0.0	3.769637455117754e-05	0.0013079119462098185	5.042800771548518e-05	0.0009154340743303636	0.0	0.0	0.0	0.0	0.0	0.0012561806761993853	0.00022319767874414106	0.003325272067714631	6.822794957954527e-05	0.002958418986088905	0.0	0.0011415207283459086	0.0	0.002020645220885389	0.00019585167499813476	0.003114360368444667	0.0	0.002566278058846327	0.0	0.0023164234422052353	0.0	0.003716953956232867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1667570849156524e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0027780792186652198	0.0022422008063299054	0.003925584570745861	0.002119610420970728	0.0021413276231263384	0.002630340875069501	0.0030532183051088153	0.002554506996420436	0.0023327928081704648	0.0023150498548016978	0.0026017091906479577	0.0013360323886639676	0.00213428190306803	0.001423374980230903	0.002552173335105676	0.0033083527012284777	0.0026905119886048903	0.0021224307417336908	0.0025463805020007274	0.0	0.003876187788126823	0.0	0.0028664469707310415	0.002095804776989509	0.0034862492231199503	0.0018222061096376577	0.0030334121425703705	0.0	0.00416157850761617	2.128912764251297e-05	0.0029961276463438763	0.0023957171947994508	0.00275218774205244	0.0037363669571570213
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.035346235038424344	0.41400197854044596	0.017537042793492903	0.4002076697817134	0.022675975014434937	0.43189548835644603	0.018798938361067365	0.4332664665691317	0.03474442432880089	0.4575220190370868	0.019048621342875185	0.3915452904825273	0.025705435235318617	0.4095196759259259	0.014621988893732351	0.4345357006576732	0.005728084461166957	0.15007878742402642	0.006490879245370263	0.0006496818380531404	0.0022632238740671563	0.000495832496485238	0.002059164459858073	0.16518375241779498	0.008427780789450461	0.15928552893348327	0.0070177434030937215	0.0005541453648421579	0.001546255416980326	0.0016097621379442325	0.0019133401946495549	0.16580694017550893	0.01716142152121618	0.37515114873035066	0.013696760878093711	0.42180311286585964	0.015982596084118925	0.39485480413174817	0.013771790643893434	0.4156063090317068	0.015761396702230843	0.4268785135527462	0.0103997128811211	0.42915501366935865	0.014507413923096256	0.3986766172160619	0.014618898773743689	0.4254634576964178	0.0010162859828755813	0.008395453810300971	0.0006852401735941773	0.00013821700069108501	0.0003072414445074683	0.0004536104224906377	0.0006156837329876863	0.00524603669802577	0.0014299552562387565	0.005521971634503604	0.0007839096936032969	0.005236713974930074	0.000717687740588504	0.00010577831685542219	0.0007231479046640052	0.004747467277970864	0.41122083559413997	0.46077226570079555	0.44137224782386075	0.38721794424619677	0.30537339400428265	0.37280270304948465	0.3188838001917137	0.3866091767002929	0.3990118820706855	0.3726621042584733	0.3938370359917804	0.31878542510121455	0.30197865718096933	0.37532289525014495	0.3199787318888741	0.4019707821467533	0.339815620796075	0.3352932813388578	0.3331546399647719	0.0033662971779733005	0.3282528930285069	0.003092747066308497	0.29505879141235886	0.3292340676679956	0.3478480422622747	0.32829285046461487	0.33519204175402595	0.00423784494086728	0.3488495404588984	0.0037681755927247954	0.3380913347842882	0.32989025772388436	0.4199393529886781	0.4462349319000157
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae	0.0	0.013667148618826574	0.0003540220357130522	0.01326519897798467	0.00032806676814865364	0.018521287332261802	0.00038544981993986985	0.019894119244053633	0.0016081815030237665	0.01623286859670603	0.0007366870132603662	0.010864611626592777	0.00033840066638900456	0.012181712962962964	0.0	0.016655069470943414	0.004640667357576438	0.5852479927965784	0.005034332878644256	0.8971741875941128	0.00425721665530848	0.8462982024502912	0.004617805882519249	0.5975407571152253	0.00943003744279573	0.576773923824352	0.006756141947224749	0.8822172964856458	0.006347785396024496	0.7647495863023877	0.00504237668626056	0.6111096262639761	0.0029387694367978574	0.014762192664248287	0.005850546676446006	0.031346189404074354	0.004583031182015954	0.030667928835927276	0.004293314251936658	0.018832413458651824	0.0	0.02185330834806936	0.002345360609626829	0.020655919722632476	0.0057991957778336265	0.025813014271182686	0.009040634767973071	0.020454862240393997	0.007098757590385934	0.6522576566244689	0.0016297604128726378	0.9045381248560239	0.0021034221970126677	0.7556411203122527	0.0012313674659753726	0.8563034220394119	0.005131694266340699	0.5864204706915704	0.0056217523741265004	0.7885942194136538	0.001613314590413827	0.8604219849653753	0.0024742415911644475	0.8760679336439153	0.009289202387411828	0.016449992454131902	0.01371109973260511	0.00579539051809718	0.003580032119914347	0.008746418031735169	0.005538395995313665	0.009697364139277579	0.0077285615392639374	0.012763235383709359	0.007919779163396156	0.006437246963562753	0.002912405513561583	0.0047973008592967475	0.002392662501661571	0.010873689702603993	0.026262166653477883	0.22385043464131937	0.0277517183281959	0.8942080812106086	0.024028600997271617	0.8783342758848202	0.09526548758847961	0.22368500295098948	0.024889294592914855	0.24499608845808926	0.024713387161529196	0.8944875164257556	0.026287036441930714	0.9170291732012461	0.028029810527902616	0.2247919872474131	0.006526145783549498	0.023075718833168085
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.054449216434595424	0.154691423788144	0.0384588816357545	0.13699205488082322	0.06541651356884153	0.1319291294434269	0.08450161338281775	0.14838388561258503	0.059762721004583796	0.1275721789960109	0.04711288851469866	0.12297427857885046	0.07416180758017493	0.14048032407407407	0.07267403293974944	0.14160175978092523	0.0049725082577331695	0.021145043895850528	0.00649665919126997	0.0001639384077330354	0.007530057127472509	0.00013180357501506326	0.005494246590834127	0.021156857327070094	0.0068203880435193705	0.024377937317994407	0.005601683348498635	0.0	0.011454497365262151	0.0015084484369547353	0.004924951475758601	0.02341306962448216	0.04563152543213551	0.13808696090286174	0.04370000170569874	0.15104251639638464	0.060391588107324146	0.14463902887212185	0.08998330377790914	0.14535944391843522	0.04478474968290681	0.14318139829501966	0.03840215005300014	0.13649456891765913	0.05329228449359136	0.14949995467867178	0.06131281558066843	0.14312595827719185	0.007581493432251836	0.002499522150177172	0.002284133911980591	0.0	0.011037058044999055	0.001318634949100691	0.004034348671419313	0.0004301023158889488	0.009905899718621708	0.002589836988813971	0.0017469987457444903	0.0014865844815083393	0.012224416804569477	6.346699011325331e-05	0.007757404795486601	0.0005570755995957504	0.19939229517091697	0.1650389151197637	0.16891392160209365	0.09782404550454778	0.1865297109207709	0.1041443907446217	0.18873149430184258	0.25785876993166285	0.24463979213488474	0.26989622890563125	0.23434785292846622	0.1438765182186235	0.19475322365495776	0.11292108176498497	0.2288980459922903	0.2181259782763364	0.2562415921500356	0.11513932894629945	0.26185598590875153	0.0013790282831884393	0.27237745789820306	0.001260662613695273	0.2118343310648753	0.11866591185575082	0.2553119173399627	0.12266977045927226	0.26763616897889997	0.0014914586070959265	0.20009319364997752	0.0012773476585507782	0.23727823473435278	0.13304523298349719	0.12638639397485127	0.1459166101341126
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae	7.279307009972651e-05	0.0003500494635111483	0.0	0.0006066757668031687	0.0	0.0009531641311254813	2.202570399656399e-05	0.00010557910137102004	0.0	0.0001974801532445989	0.0	0.0002369797838015203	0.0	0.00043402777777777775	0.0	0.000347915871697605	2.0420978471183445e-05	0.00041269603061454193	0.0	0.0	0.0	0.0	0.0	0.00024868748273003594	0.0	0.00045411296600640085	0.0	0.0	0.0	0.0	0.0	0.000570181299835182	0.0	0.0006675735590487707	0.0	0.0005655801002817024	8.70195794053662e-05	0.0007238911935852103	0.0	0.0007620719118767753	0.0	0.0005410541318060651	0.0	0.0006075270506656611	0.0	0.000795641095366146	0.0	0.0005691585745481578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.104290991759022e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0004340748779164406	0.001099540780027165	0.00045514024008647667	0.0005366102331571463	0.0005687901498929336	0.0001496941961421667	0.00024851776902048495	0.0004230393752033843	0.0006163883436222773	0.0001523059115001117	0.0003174967147909372	0.00039473684210526315	0.0005113383726100489	0.00042174073488323053	0.000505117639239665	0.001292510553526538	0.0006330616443776212	0.001086603298399545	0.00039248722023319487	0.0	0.0002634302380280365	0.0	0.00034124368699179063	0.0009635884032135673	0.0004467060285891858	0.0010780591119845828	0.0006691350314493464	2.628120893561104e-05	0.0003695610257728646	0.0	0.0006595249535977086	0.0013084301602366232	0.0010876909639249163	0.00027135625945833117
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0.0011334920915528842	0.004428886690510616	0.0007598521742133803	0.0073151097266459	0.0010498136580756915	0.006130153627630546	0.0008810281598625596	0.003725434005520279	0.0	0.007030293455507722	0.0	0.006197932807116685	0.0	0.005931712962962963	0.0007770596819741106	0.006318601153733923	0.0016132572992234922	0.0484655211225332	0.002606755600767577	0.00014572302909603147	0.0005132217706992436	0.0	0.0008481684274014947	0.04700193423597679	0.0028554859368893483	0.04334976789781737	0.0017288444040036396	0.0	0.000773127708490163	0.0	0.0	0.045471958661855764	0.0009299903281005877	0.006562374042724708	0.0009893052689034063	0.007124133955471444	0.002001450326323423	0.005637998719269427	0.001534807993445955	0.00784010345703531	0.0008393643214205774	0.005225791126712238	0.00037559155670180536	0.006735170578931381	0.0005591857250565468	0.009034051424600417	0.0	0.006597593272313339	0.0	0.0009851057885992384	0.0006667201689024428	0.0	0.0	0.0	0.0	0.0012781913894727914	0.0	0.0009881422924901185	0.0002060562623185809	0.001434787112814669	0.000349946914832411	0.0	0.0005020200329898879	0.0013606448273312136	0.008638090070537167	0.006015134855442727	0.01092336576207544	0.007566204287515763	0.00521948608137045	0.005966382960523502	0.007029502609436575	0.007533355027660267	0.009084615895232948	0.00546270535913734	0.009048656371541711	0.011700404858299596	0.0038683859493108047	0.008355738309874005	0.005423368337099561	0.0055969264336195035	0.10451452085146791	0.11754610447639938	0.10663207673603799	0.00047715427289029644	0.10426192492238216	0.0008011687638437249	0.10765750833609579	0.11846114932006793	0.1000038844002486	0.11292907706691599	0.11095151001472098	0.00043363994743758215	0.13156372517513978	0.00046126443225444764	0.12183310249959957	0.10976991900633022	0.010176502579145997	0.11882273130511924
d__Bacteria;p__Firmicutes;c__Clostridia;__;__	0.0	7.609770945894529e-05	0.0	0.0003500052500787512	0.0	9.34474638358315e-05	0.00017620563197251192	0.00016591001644017435	0.0	0.0	0.0	0.00032812585449441275	0.0	0.00014467592592592592	0.0	0.0004377006127808579	0.0	1.5007128385983342e-05	0.0	0.0	0.0	0.0	0.0	4.6053237542599246e-05	0.0	9.370585012830494e-05	0.0	0.0	0.0	0.0	0.0	7.127266247939775e-05	0.0	5.0382910116888354e-05	0.0	0.00016314810585049108	0.0	0.00026449870534844225	0.0	0.0005888737500865991	0.0	6.59822111958616e-05	0.0	0.00025139050372372185	0.0	0.00011078546897503298	0.0	6.969288667936626e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001302224633749322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015172636150702208	0.0005178400991003798	0.0002557612424704772	0.00011133603238866397	0.0	0.00010543518372080763	5.317027781470158e-05	0.000391310534553906	0.0	0.00011170688114387846	0.00010530144933085715	0.0	0.0002446137924546053	0.0	0.0	0.0	2.913300186451212e-05	4.770173061878685e-05	0.00024981041174108935	0.0	3.213574137155344e-05	0.0	4.7108925256979185e-05	2.7642890709224433e-05	0.0005108851497223092	3.131033762980744e-05
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	0.0014974574420515167	0.016650178829617227	0.001338375988671295	0.012320184802772041	0.0015615978163875913	0.016745785519381003	0.0013655936477869673	0.014509585074131612	0.0024459766572936326	0.015679924167621154	0.0012628920227320563	0.016770877007492208	0.0023557892544773013	0.016319444444444445	0.00146883232568277	0.01626226122870418	0.0006177345987532992	0.02102498686876266	0.0007918525882597739	0.012307524165735658	0.00022716373457179636	0.016262050612572805	0.0001837698259369905	0.022280556323109515	0.0004979765761904161	0.02161001066805063	0.0007506824385805277	0.016445604375960817	0.00018310919411609124	0.014994427746445578	0.0002970167089167179	0.024642523052251772	0.0014383850407955758	0.012797259169689641	0.0014669009159602232	0.019479883838548633	0.0020304568527918783	0.01534092491020965	0.0020740648560080475	0.014744936840403667	0.0010352159964187122	0.016020480878355194	0.0010850422749163265	0.011867726696624035	0.0021424981151042977	0.01594303612613429	0.0023563356576100022	0.013079031733494402	0.0002540714957188953	0.011475747283607545	0.0	0.013314904399907856	0.0	0.018060024262883063	0.00010531432274789372	0.016089461281704902	0.0002594676876239679	0.010869565217391304	0.00025981006987994983	0.012182741116751269	8.896955461840958e-05	0.014780756808597662	0.0	0.01610589366264882	0.02799782962561042	0.015350451674104737	0.023837970074529213	0.017815459740817257	0.016260706638115633	0.016637440656943673	0.01338445698867469	0.010494630654083957	0.024371046817065423	0.015433665698677984	0.02719006588056832	0.015931174089068825	0.015518008003557137	0.013970161843007011	0.014143293898710621	0.016269031921453302	0.034145762443617944	0.03486270208790316	0.031963776301430186	0.01459253122476588	0.03193150813811271	0.013608087091757388	0.026578008306846323	0.03670067330739674	0.03024005593536358	0.033219485202923164	0.03361734398001517	0.013633377135348226	0.032023266276753004	0.013234741017762229	0.033221214091221724	0.03421268440111677	0.028766129962590023	0.03401346344518082
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae	6.239406008547986e-05	0.0007609770945894528	1.7269367595758642e-05	0.0008283457585197111	0.0	0.0007102007251523194	3.3038555994845986e-05	0.0008295500822008717	4.8149146797118755e-05	0.000908408704925155	0.0	0.0007656269938202964	0.0	0.0006365740740740741	8.528703826545116e-05	0.0007743933918430562	0.0	0.00011255346289487506	1.1559891799412758e-05	0.0	0.0	0.0	0.0	0.0	0.0	7.92895654931811e-05	2.8434940855323022e-05	0.0	0.0	0.0	0.0	9.79999109091719e-05	6.199935520670585e-05	0.0006297863764611044	9.381343067187473e-05	0.0009788886351029464	0.0	0.0007656541470612802	0.0	0.001143107867815163	5.5957621428038496e-05	0.0008709651877853731	1.6692958075635793e-05	0.0007960699284584525	0.0	0.0009467121894230091	0.00012022120702091849	0.0008246991590391674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005425935973955507	0.00047431170903132616	0.0011947431302270011	0.0005902712564728609	0.0008029978586723769	0.0006843163252213336	0.000710050768629957	0.000683371298405467	0.0009767384522014547	0.0006599922831671506	0.000846657906109166	0.0006882591093117409	0.0005113383726100489	0.0006589698982550477	0.0009038947228499269	0.000853768439026704	0.00025718129302840866	0.00037574132748395485	0.0006030901188949091	0.0	0.0006303509267099445	0.0	0.0005069906206735175	0.000325211086084579	5.826600372902424e-05	0.0003148314220839932	0.0005263862247401526	0.0	0.0007873256636030593	2.8385503523350626e-05	0.0006877903087518961	0.0002580003132860947	0.000980569884144432	0.0005948964149663414
