# Constructed from biom file
#OTU ID	B24F10	B24F11	B24F12	B24F13	B24F14	B24F15	B24F16	B24F1	B24F2	B24F3	B24F4	B24F5	B24F6	B24F7	B24F8	B24F9	B24M10	B24M11	B24M12	B24M13	B24M14	B24M15	B24M16	B24M1	B24M2	B24M3	B24M4	B24M5	B24M6	B24M7	B24M8	B24M9	B72F10	B72F11	B72F12	B72F13	B72F14	B72F15	B72F16	B72F1	B72F2	B72F3	B72F4	B72F5	B72F6	B72F7	B72F8	B72F9	B72M10	B72M11	B72M12	B72M13	B72M14	B72M15	B72M16	B72M1	B72M2	B72M3	B72M4	B72M5	B72M6	B72M7	B72M8	B72M9	B8F10	B8F11	B8F12	B8F13	B8F14	B8F15	B8F16	B8F1	B8F2	B8F3	B8F4	B8F5	B8F6	B8F7	B8F8	B8F9	B8M10	B8M11	B8M12	B8M13	B8M14	B8M15	B8M16	B8M1	B8M2	B8M3	B8M4	B8M5	B8M6	B8M7	B8M8	B8M9	FStool	MStool
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis	0.0	0.0014001978540445932	0.0	0.0008750131251968779	6.561335362973072e-05	0.0007288902179194857	0.0	0.00015082728767288578	0.0	0.0	0.0	0.001385420274531965	9.110787172011662e-05	0.001388888888888889	0.0	0.001245763282530134	0.0	0.0006002851354393337	4.623956719765103e-05	0.0	2.5240414952421818e-05	0.0	0.0	0.0004052684903748733	0.0	0.0005189862468644581	2.8434940855323022e-05	0.0	0.0	0.0	0.0	0.0006147267138848056	0.0	0.0009824667472793228	0.0	0.0013921971699241906	0.0	0.0012807305732661415	0.0	0.0010391889707410571	0.0	0.0013856264351130936	1.6692958075635793e-05	0.0011731556840440353	6.911284242271928e-05	0.0011179260960207874	0.0	0.0012312409980021373	0.0	5.1460750150706484e-05	0.0	0.0	0.0	0.0	0.0	4.240445367919214e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010092240911557244	6.467886941336265e-05	0.0005120327700972862	0.0	0.0	0.0012617082246268337	0.0	0.00035795639440286365	0.001024152940172399	0.00045691773450033505	0.0008731159656750774	0.0011842105263157896	0.0010893730546909738	0.0	0.0	0.00053360527439169	0.0014441718762364486	0.0008936550491510277	0.0018092703566847275	0.0	0.0018440116661962555	0.0	0.0012187274535421094	0.0017224142707442517	0.0014857830950901181	0.0014882939953061497	0.0011865994557701744	0.0	0.0016871264220065557	0.0	0.0016676559540970632	0.001465073207588895	0.0013925740371462944	0.0019516777122579971
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	0.0	0.0025416634959287724	0.0	0.002578372008913467	0.0	0.002392255074197286	0.00018721848397079392	0.0035142758027782387	0.0002985247101421363	0.004147083218136578	0.0	0.003044278761142607	0.00020824656393169514	0.002907986111111111	0.00017057407653090233	0.0025027496576956747	7.657866926693793e-05	0.001073009679597809	8.09192425958893e-05	0.0	0.0	0.0	3.769637455117754e-05	0.0013079119462098185	5.042800771548518e-05	0.0009154340743303636	0.0	0.0	0.0	0.0	0.0	0.0012561806761993853	0.00022319767874414106	0.003325272067714631	6.822794957954527e-05	0.002958418986088905	0.0	0.0011415207283459086	0.0	0.002020645220885389	0.00019585167499813476	0.003114360368444667	0.0	0.002566278058846327	0.0	0.0023164234422052353	0.0	0.003716953956232867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1667570849156524e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0027780792186652198	0.0022422008063299054	0.003925584570745861	0.002119610420970728	0.0021413276231263384	0.002630340875069501	0.0030532183051088153	0.002554506996420436	0.0023327928081704648	0.0023150498548016978	0.0026017091906479577	0.0013360323886639676	0.00213428190306803	0.001423374980230903	0.002552173335105676	0.0033083527012284777	0.0026905119886048903	0.0021224307417336908	0.0025463805020007274	0.0	0.003876187788126823	0.0	0.0028664469707310415	0.002095804776989509	0.0034862492231199503	0.0018222061096376577	0.0030334121425703705	0.0	0.00416157850761617	2.128912764251297e-05	0.0029961276463438763	0.0023957171947994508	0.00275218774205244	0.0037363669571570213
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	0.011220531805372129	0.10781523476143368	0.005819776879770663	0.11018165272479087	0.007178100887092541	0.11948192726049416	0.006398467011001839	0.11913847453281248	0.010506143831131312	0.11331411193175085	0.007121307794850207	0.10283099695572123	0.008564139941690961	0.10865162037037036	0.005183556659022421	0.11883010482368521	0.0016489940115480633	0.04186238463270053	0.0022310591172866622	0.0	0.0008581741083823418	0.0003138180357501506	0.0005277492437164856	0.05040987381412913	0.002792450927244992	0.04409941469884381	0.0022065514103730664	0.0	0.000752782242477264	0.0006078822059369829	0.000676921801717171	0.04382377834201969	0.0056543411948515735	0.0960298266827892	0.004920940863424702	0.10432777542119402	0.006613488034807832	0.0963471336692931	0.004791089817378589	0.10623975244209408	0.005866223979706036	0.10679880704162158	0.003972924022001318	0.11539871581351015	0.005139482281980397	0.09982777895277517	0.005025246453474393	0.1114156948380802	0.00027947864529078483	0.002124593827650596	0.0002531067307870385	0.0	0.0	0.0	0.0002997407647440052	0.001556849227936054	0.0008879560865353568	0.001530651786406262	0.00050170220390611	0.0017714700093235264	0.0004092599512446841	0.0	0.0003227271640649279	0.0018043333579826962	0.11913185024416711	0.14638984110557748	0.1145815554417705	0.11561267473370718	0.07722162740899358	0.10662503742354904	0.08641317854226577	0.10776114546046209	0.12188368277810968	0.10629937249964462	0.11305528852513956	0.1041497975708502	0.08283681636282793	0.11429173915335547	0.0874651070051841	0.11015984442441777	0.09685843158977606	0.09592574538955236	0.094350098600448	0.0007917614857849974	0.08868190798758115	0.0009602243272538762	0.08411169393366223	0.09821374799754284	0.0992755593536358	0.10370356236524261	0.10100370254717402	0.0015900131406044679	0.09986181631210232	0.0014760461832142326	0.09473604869178515	0.10127433726169524	0.10585210698923846	0.11555601941240932
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__uncultured	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004494634951602011	0.0	0.0	0.0	0.0	0.0	0.003730312240950539	0.0	0.0014704610327826312	5.1182893539581436e-05	0.0	0.0	0.0	0.0	0.00205799812909261	0.0	0.0	0.0	0.0	0.0	0.0001252888604282095	0.0	0.00013855852943214095	0.0	0.00023753596030510175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.254149040026033e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00023739811664160799	0.0033004305792509545	0.0004307786563535065	0.0	0.0	0.0	6.824873739835813e-05	0.002734182094118497	0.0	0.004770173061878685	3.568720167729848e-05	2.628120893561104e-05	0.0	0.0	0.0	0.004210933684705188	9.888099672044694e-05	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;__	0.0	0.00022829312837683585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.489237054162645e-05	0.0	0.021625272004201997	0.0	0.00823335114392578	0.0	0.007996083550913838	0.0	0.01644100580270793	0.0	0.018726753741025864	1.7060964513193813e-05	0.0025383432841156912	0.0	0.0009793657762318057	0.0	0.01629471245935231	0.0	0.0	0.0	0.00029366659053088395	0.0	2.7841968984046552e-05	0.0	0.0001616516176708311	0.0	3.9589326717516956e-05	0.0	4.189841728728697e-05	0.0	0.00021149953167960844	0.0	0.0	0.0	0.008402805346036787	0.0	0.0001612531674729325	0.0	0.004420064349385516	0.0	0.00982571769537852	0.0	0.005980521325789868	0.0	0.007930177147000932	0.0	0.009082831473985586	0.0	0.010860509255835737	2.170374389582203e-05	0.0017463294741607916	0.0	0.0	0.0	0.0	0.0	4.88122356003905e-05	0.0	0.0	3.527741275454858e-05	0.00011133603238866397	0.0	0.0	0.0	3.5573684959446e-05	0.0020574503442272692	0.010033308960922901	1.9145718060155847e-05	0.009737093239090996	0.0002446137924546053	0.012683208445261322	0.00031199422810678	0.009912915698059573	0.0013498290863890616	0.009874258238088877	0.0004104028192889325	0.0076478318002628125	6.427148274310688e-05	0.00578354634288269	0.002148166991718251	0.007979581118062786	0.0	0.00018786202577884465
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	0.0	0.007731527281028841	0.0003540220357130522	0.007805117076756151	0.00032806676814865364	0.011699622472246103	0.0	0.009924435528875885	0.0014348445745541389	0.008096686283028556	0.0007366870132603662	0.007255227227154238	0.00033840066638900456	0.005787037037037037	0.0	0.008866243181971224	0.004359878903597666	0.5272229308921738	0.005016993040945137	0.852194345946471	0.00425721665530848	0.7949136372765616	0.004226705996550782	0.5451782260292899	0.008686224328992322	0.5268214975636479	0.006687898089171975	0.8244968002574095	0.006347785396024496	0.7143966769106076	0.00504237668626056	0.5574324023341797	0.0029387694367978574	0.007922712615880694	0.00534736554829686	0.01795716818394405	0.004583031182015954	0.018222568700058468	0.004293314251936658	0.010738286030990925	0.0	0.01097943994299137	0.002345360609626829	0.009469042306926856	0.005309122895199799	0.01365682690274043	0.009040634767973071	0.010639780699716583	0.006555044589547499	0.6057959507741167	0.001469253705544272	0.8541580281041234	0.0021034221970126677	0.7129595442797616	0.0012313674659753726	0.8080835004270734	0.005131694266340699	0.5531594719574259	0.0056217523741265004	0.7408733036361753	0.001613314590413827	0.805346741322652	0.0024742415911644475	0.8297567107890261	0.004026044492674986	0.006877519780954229	0.004892757580929624	0.00579539051809718	0.003580032119914347	0.006394080663786835	0.0033372386125607983	0.0036771884152294173	0.0032052193868358416	0.0057165485449708585	0.003201425207475284	0.00548582995951417	0.002912405513561583	0.0047973008592967475	0.002392662501661571	0.004932884314376512	0.021959325789348737	0.19218661142253635	0.025042599222683846	0.8498065165640698	0.022259855113369083	0.827966680804939	0.08798237232611196	0.19783674403478554	0.020917495338719703	0.2218225877234826	0.021965472632377213	0.8495663600525624	0.022768172761745614	0.8817956669528871	0.022923203030046073	0.20216167405346136	0.0024967451671912854	0.019631581693889264
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.054449216434595424	0.154691423788144	0.0384588816357545	0.13699205488082322	0.06541651356884153	0.1319291294434269	0.08450161338281775	0.14838388561258503	0.059762721004583796	0.1275721789960109	0.04711288851469866	0.12297427857885046	0.07416180758017493	0.14048032407407407	0.07267403293974944	0.14160175978092523	0.0049725082577331695	0.021145043895850528	0.00649665919126997	0.0001639384077330354	0.007530057127472509	0.00013180357501506326	0.005494246590834127	0.021156857327070094	0.0068203880435193705	0.024377937317994407	0.005601683348498635	0.0	0.011454497365262151	0.0015084484369547353	0.004924951475758601	0.02341306962448216	0.04563152543213551	0.13808696090286174	0.04370000170569874	0.15104251639638464	0.060391588107324146	0.14463902887212185	0.08998330377790914	0.14535944391843522	0.04478474968290681	0.14318139829501966	0.03840215005300014	0.13649456891765913	0.05329228449359136	0.14949995467867178	0.06131281558066843	0.14312595827719185	0.007581493432251836	0.002499522150177172	0.002284133911980591	0.0	0.011037058044999055	0.001318634949100691	0.004034348671419313	0.0004301023158889488	0.009905899718621708	0.002589836988813971	0.0017469987457444903	0.0014865844815083393	0.012224416804569477	6.346699011325331e-05	0.007757404795486601	0.0005570755995957504	0.19939229517091697	0.1650389151197637	0.16891392160209365	0.09782404550454778	0.1865297109207709	0.1041443907446217	0.18873149430184258	0.25785876993166285	0.24463979213488474	0.26989622890563125	0.23434785292846622	0.1438765182186235	0.19475322365495776	0.11292108176498497	0.2288980459922903	0.2181259782763364	0.2562415921500356	0.11513932894629945	0.26185598590875153	0.0013790282831884393	0.27237745789820306	0.001260662613695273	0.2118343310648753	0.11866591185575082	0.2553119173399627	0.12266977045927226	0.26763616897889997	0.0014914586070959265	0.20009319364997752	0.0012773476585507782	0.23727823473435278	0.13304523298349719	0.12638639397485127	0.1459166101341126
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	0.0022773831931200148	0.03250894148086143	0.0014419921942458466	0.029307106273260764	0.0029657235840638285	0.030688147123687063	0.0011453366078213274	0.024343524230403764	0.0026482030738415314	0.03894308621983491	0.00266610538132323	0.031135497748692054	0.002407850895460225	0.03017939814814815	0.0009097284081648124	0.022906332068864898	0.0002756832093609765	0.00938695880543258	0.00047973550967562946	0.00021858454364404723	0.0006141834305089309	2.510544286001205e-05	0.0	0.008308004052684904	0.00039081705979501015	0.007193726032926794	7.393084622383985e-05	0.0	0.0	0.0	0.000573311321862502	0.0076261748852955585	0.0008679909728938819	0.02857970576380492	0.0010490047247855084	0.03369552212832142	0.0	0.03173984464181307	0.0010577730765641041	0.028346765812992173	0.0009699321047526673	0.02998231676739951	0.0007428366343657928	0.028250007855953243	0.0	0.030576789437109102	0.0	0.03159410862797937	0.0	0.0	0.0	0.0	0.00018907165815844205	0.0	0.0	0.0005754890142176076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02674986435160065	0.023284392988810555	0.0362405416168857	0.028279359287381612	0.02840604925053533	0.033595654591334845	0.02854404089892427	0.021070615034168565	0.022464984400633457	0.02067298905428183	0.0288481042800321	0.028026315789473684	0.025878168074699868	0.034029205545890666	0.024272231822411273	0.02283830574396433	0.02793384505816254	0.019914290356649607	0.031092646129693095	0.0	0.03159281211779095	0.0005890946792968566	0.023321568550981806	0.022307071534394082	0.029841904909881915	0.017687801713446163	0.0304768702324129	0.0	0.031541230156179705	0.0006457702051562267	0.028679913696448928	0.021469311784164308	0.042395227343891624	0.03495277357407504
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	0.008807961482066907	0.2073662582756259	0.0042914378475460225	0.2205616417579597	0.0037530838276205974	0.20623855268568012	0.0019823133596907593	0.16141536326752237	0.0077423828049766955	0.17374303882459813	0.006910825791061531	0.1865760067083508	0.004282069970845481	0.2064525462962963	0.0015541193639482212	0.16655069470943412	0.0013477845790981074	0.02749305920312148	0.0012253485307377524	0.0006861125953271482	0.0006310103738105454	0.0	0.0005041890096219996	0.02861748180897117	0.003164357484146695	0.02713144768330306	0.0014103730664240218	0.0005183940509813736	0.0	0.0	0.00044897874603689914	0.026745066595394003	0.0016243831064156932	0.15885731559854896	3.4113974789772634e-05	0.17348081922102218	0.0018274111675126903	0.1745273825764958	0.001005921455163903	0.1953559799551994	0.001389614265462956	0.18042175829396395	0.0011434676281810519	0.2121107375168903	0.0016398592611208847	0.20269712259922854	0.0022601586919932678	0.1978116433582679	0.0	4.410921441489127e-05	0.0	0.0	0.0002127056154282473	0.0002531779102273327	0.0	0.0005088534441503056	0.0005304672724756677	0.0007104290991759022	0.0	0.0007355226354501191	0.0	0.0	0.0	0.0010895018363775296	0.14510037981551818	0.15939029385766337	0.14393810092734824	0.18987953100265623	0.1041889721627409	0.21235190967024506	0.09266162530620939	0.15629677839245038	0.12940362057030147	0.16808480393152325	0.1385608579466782	0.2007591093117409	0.11049355269008448	0.20254098792767147	0.10719128007443839	0.17949295641037802	0.12083564137057846	0.06178406044357787	0.12719457793264535	0.0006239709722411569	0.1248000752657823	0.00043593006267967385	0.10372833102587602	0.06830637293280176	0.1274180391547545	0.0691770497433647	0.11956996921978855	3.2851511169513796e-05	0.12075004820361206	0.0006670593327987396	0.1211076250506421	0.07016687091691469	0.18827765783879102	0.12946824609925378
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group	0.00010399010014246643	0.0017806864013393197	0.0	0.0011666841669291707	0.0	0.0017007438418121332	0.0	0.0016289347068671664	0.0	0.0	0.0	0.0016224000583334851	0.0	0.0018229166666666667	0.0	0.001649794617404772	0.0	0.0011930667066856757	0.0	0.0	0.0	0.0	0.0	0.0007092198581560284	0.0	0.0010956376322694115	0.0	0.0	0.0	0.0	0.0	0.001238362510579536	0.0	0.0015492744860943167	0.0	0.0015227156546045834	0.0	0.0014895453406464905	0.0	0.001593423088469621	0.0	0.0014252157618306104	0.0	0.0015397668353077962	0.0	0.0014905681280277165	0.0	0.0014519351391534638	0.0	0.0	0.0	0.0	0.0	4.2196318371222113e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.887796100470803e-05	0.00149755832881172	0.0	0.0	0.0014220171178664378	0.0013048715203426125	0.0013686326504426672	0.0010650761529449357	0.0016596160104132768	0.0019439940068087206	0.0015433665698677986	0.0015345674548228633	0.001062753036437247	0.0011783014673188083	0.0016078865517423163	0.001276086667552838	0.001328084238485984	0.0017705942866186595	0.002985620277845479	0.0009189944668874806	0.0	0.0016840718788220905	0.0	0.0017647173527289746	0.002722137239078328	0.0020781541330018643	0.0017745043790188709	0.0023107463086050766	2.628120893561104e-05	0.002602995051095829	0.0	0.0021858541319238344	0.003003860790402388	0.0014255343693864433	0.0022960914261858792
