# Constructed from biom file
#OTU ID	B24F10	B24F11	B24F12	B24F13	B24F14	B24F15	B24F16	B24F1	B24F2	B24F3	B24F4	B24F5	B24F6	B24F7	B24F8	B24F9	B24M10	B24M11	B24M12	B24M13	B24M14	B24M15	B24M16	B24M1	B24M2	B24M3	B24M4	B24M5	B24M6	B24M7	B24M8	B24M9	B72F10	B72F11	B72F12	B72F13	B72F14	B72F15	B72F16	B72F1	B72F2	B72F3	B72F4	B72F5	B72F6	B72F7	B72F8	B72F9	B72M10	B72M11	B72M12	B72M13	B72M14	B72M15	B72M16	B72M1	B72M2	B72M3	B72M4	B72M5	B72M6	B72M7	B72M8	B72M9	B8F10	B8F11	B8F12	B8F13	B8F14	B8F15	B8F16	B8F1	B8F2	B8F3	B8F4	B8F5	B8F6	B8F7	B8F8	B8F9	B8M10	B8M11	B8M12	B8M13	B8M14	B8M15	B8M16	B8M1	B8M2	B8M3	B8M4	B8M5	B8M6	B8M7	B8M8	B8M9	FStool	MStool
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales	0.01698158335326477	0.3453618446084773	0.008729665319655994	0.38369908881966563	0.007571781008870925	0.34356894553881806	0.006475556974989813	0.3188941343267824	0.015831439466892645	0.3087799676132549	0.00961201150634954	0.32067010591173417	0.01047740524781341	0.35457175925925927	0.005609991850349677	0.3241004691252722	0.0018225723285531226	0.03910857657387259	0.0019131620928028114	0.0007529023169961627	0.0007740393918742691	8.786905001004218e-05	0.0007162311164723733	0.04345583494519665	0.004204435143278577	0.040769252948130205	0.002456778889899909	0.0005183940509813736	0.00010172733006449513	0.0004502831155088762	0.0006423849750989481	0.04011759989309101	0.005393943902983409	0.27393188230552196	0.0023026932983096523	0.31756234976778586	0.004902102973168963	0.3031015953448228	0.004957015005859234	0.33867168556451055	0.004541893605909125	0.3268890707065375	0.00384772683643405	0.34691889513873614	0.005233727067102287	0.340655245691956	0.00396729983169031	0.3429354643869349	0.0002540714957188953	0.0011174334318439121	4.9386679177958724e-05	0.0	0.0002127056154282473	0.00032702146737697137	0.00012961762799740766	0.0010782846792708857	0.0005304672724756677	0.0009752253997778295	5.823329152481634e-05	0.001279395006733658	0.0	0.0	7.171714756998399e-05	0.0015381202395918065	0.24349430276722733	0.30245995300002154	0.24162257495590828	0.4386520350943092	0.17595690578158457	0.44914674308198965	0.16558383924450598	0.2839570452326717	0.22372052004210408	0.28261884937960724	0.23701129759143463	0.46436234817813765	0.1955980435749222	0.4388739522378618	0.1939917586069387	0.31065313285585544	0.16201432301970403	0.09122390121049638	0.1652084011410848	0.0008494394748156926	0.16395709850409257	0.0008188416042226306	0.13812569467464852	0.09915324669067607	0.16868979179614668	0.09796027399874067	0.15564080831511798	0.0004402102496714849	0.16615785076161707	0.0007167339639646032	0.15807870959231937	0.09966183530365716	0.36783730780006263	0.17813494755518447
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales	0.0	0.0025416634959287724	0.0	0.002578372008913467	0.0	0.002392255074197286	0.00018721848397079392	0.0035142758027782387	0.0002985247101421363	0.004147083218136578	0.0	0.003044278761142607	0.00020824656393169514	0.002907986111111111	0.00017057407653090233	0.0025027496576956747	7.657866926693793e-05	0.001073009679597809	8.09192425958893e-05	0.0	0.0	0.0	3.769637455117754e-05	0.0013079119462098185	5.042800771548518e-05	0.0009154340743303636	0.0	0.0	0.0	0.0	0.0	0.0012561806761993853	0.00022319767874414106	0.003325272067714631	6.822794957954527e-05	0.002958418986088905	0.0	0.0011415207283459086	0.0	0.002020645220885389	0.00019585167499813476	0.003114360368444667	0.0	0.002566278058846327	0.0	0.0023164234422052353	0.0	0.003716953956232867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1667570849156524e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0027780792186652198	0.0022422008063299054	0.003925584570745861	0.002119610420970728	0.0021413276231263384	0.002630340875069501	0.0030532183051088153	0.002554506996420436	0.0023327928081704648	0.0023150498548016978	0.0026017091906479577	0.0013360323886639676	0.00213428190306803	0.001423374980230903	0.002552173335105676	0.0033083527012284777	0.0026905119886048903	0.0021224307417336908	0.0025463805020007274	0.0	0.003876187788126823	0.0	0.0028664469707310415	0.002095804776989509	0.0034862492231199503	0.0018222061096376577	0.0030334121425703705	0.0	0.00416157850761617	2.128912764251297e-05	0.0029961276463438763	0.0023957171947994508	0.00275218774205244	0.0037363669571570213
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales	0.035346235038424344	0.41400197854044596	0.017537042793492903	0.4002076697817134	0.022675975014434937	0.43193286734198033	0.018798938361067365	0.43331171475543356	0.03474442432880089	0.4575220190370868	0.019048621342875185	0.3915452904825273	0.025705435235318617	0.4095196759259259	0.014621988893732351	0.4345357006576732	0.005728084461166957	0.15007878742402642	0.006490879245370263	0.0006496818380531404	0.0022632238740671563	0.000495832496485238	0.002059164459858073	0.16518375241779498	0.008427780789450461	0.15928552893348327	0.0070177434030937215	0.0005541453648421579	0.001546255416980326	0.0016097621379442325	0.0019133401946495549	0.16580694017550893	0.01716142152121618	0.37515114873035066	0.013696760878093711	0.42180311286585964	0.015982596084118925	0.39485480413174817	0.013771790643893434	0.4156063090317068	0.015761396702230843	0.4269312993217029	0.0103997128811211	0.42915501366935865	0.014507413923096256	0.3986766172160619	0.014618898773743689	0.4254634576964178	0.0010162859828755813	0.008395453810300971	0.0006852401735941773	0.00013821700069108501	0.0003072414445074683	0.0004536104224906377	0.0006156837329876863	0.00524603669802577	0.0014299552562387565	0.005521971634503604	0.0007839096936032969	0.005236713974930074	0.000717687740588504	0.00010577831685542219	0.0007231479046640052	0.004747467277970864	0.41122083559413997	0.46077226570079555	0.44137224782386075	0.38721794424619677	0.30537339400428265	0.37280270304948465	0.3188838001917137	0.3866091767002929	0.3990118820706855	0.3726621042584733	0.3938370359917804	0.3188259109311741	0.30197865718096933	0.37532289525014495	0.3200850724445035	0.40200635583171274	0.339815620796075	0.3352932813388578	0.3331546399647719	0.0033662971779733005	0.3282811176968671	0.003092747066308497	0.29505879141235886	0.3293545162183973	0.3478480422622747	0.32829285046461487	0.33519204175402595	0.00423784494086728	0.3488495404588984	0.0037681755927247954	0.3380913347842882	0.32989025772388436	0.4199970335700984	0.4462349319000157
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales	0.00010399010014246643	0.014017198082337722	0.0003540220357130522	0.01395354263647288	0.00032806676814865364	0.019474451463387284	0.0004074755239364338	0.020090194718028385	0.0016081815030237665	0.01643034874995063	0.0007366870132603662	0.011101591410394298	0.00033840066638900456	0.012644675925925926	0.0	0.017036654620547237	0.004661088336047622	0.5856606888271929	0.005034332878644256	0.8971741875941128	0.00425721665530848	0.8462982024502912	0.004617805882519249	0.5977894445979552	0.00943003744279573	0.5772280367903584	0.006756141947224749	0.8822172964856458	0.006347785396024496	0.7647495863023877	0.00504237668626056	0.6116798075638114	0.0029387694367978574	0.015429766223297057	0.005850546676446006	0.03205316452942648	0.0046700507614213195	0.03143358298298856	0.004293314251936658	0.019698404267602707	0.0	0.022499934017788804	0.002345360609626829	0.021347243607872712	0.0057991957778336265	0.026628798179089745	0.009040634767973071	0.021175022069414115	0.007098757590385934	0.6522576566244689	0.0016297604128726378	0.9045381248560239	0.0021034221970126677	0.7556411203122527	0.0012313674659753726	0.8563034220394119	0.005131694266340699	0.5865108889405565	0.0056217523741265004	0.7885942194136538	0.001613314590413827	0.8604219849653753	0.002486194449092778	0.8760679336439153	0.009723277265328269	0.017549533234159066	0.014336917562724014	0.006332000751254326	0.004148822269807281	0.008896112227877336	0.00578691376433415	0.010152945004881224	0.008344949882886215	0.012935848750076154	0.008263733937753006	0.0068319838056680165	0.003490440195642508	0.005271759186040382	0.0029509504187159377	0.012166200256130532	0.026924903062435706	0.2249370379397189	0.02820164270260956	0.8942080812106086	0.024292031235299653	0.8783342758848202	0.09560673127547141	0.22464859135420306	0.02538455562461156	0.24610276860844513	0.025400365793817194	0.8945137976346912	0.026688733209075135	0.9170291732012461	0.028689335481500326	0.22611884600145585	0.007679757411954712	0.023347075092626415
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	0.057558520428855175	0.17172209116505593	0.03994404724898974	0.15410731160967414	0.06817227442129022	0.1479460247448884	0.08540466724667688	0.16345153165110632	0.06255537151881668	0.14546388087997156	0.048095137865712484	0.13695608582314017	0.07863910870470638	0.16028645833333333	0.07510945169910734	0.1582231599739624	0.005753610684255936	0.026870263375103173	0.0076931079925091905	0.00037037936561908	0.00827044263274355	0.0002636071500301265	0.005833513961794724	0.025845076908906695	0.007267936611994302	0.029553383502003865	0.006346678798908098	0.0	0.012227625073752314	0.0015985050600565106	0.005429189144384657	0.029979063655396678	0.047441906604171316	0.15360489721886336	0.04503897521619731	0.1697284127864609	0.06372733865119652	0.15988250689088732	0.09245144095655872	0.166131676789137	0.04692979183764829	0.16139248858507746	0.03952057824406774	0.151075218133635	0.05623272178939432	0.16594656111832895	0.06234671796104833	0.16317427867862286	0.007581493432251836	0.0028229897225530414	0.002450813954206202	0.0	0.011037058044999055	0.001318634949100691	0.0042044718081659105	0.0004906801068592233	0.010269154481295263	0.002706089023224573	0.001984411395807203	0.0015383818502020098	0.01259215763032557	6.346699011325331e-05	0.008223566254691497	0.0008430082082378171	0.21543136190992945	0.17972101847659702	0.18985037264607157	0.11161492849668643	0.20446332976445397	0.11999059065052821	0.20105087513757233	0.28000325414904004	0.2595848387433264	0.2910972117864468	0.24987873389365625	0.15682186234817813	0.21496220542463318	0.13089778058938267	0.24413133058620232	0.23559265759142436	0.28927949671599273	0.13758225688520595	0.2915318489019931	0.0022389546651006217	0.30376328911468625	0.0031045289598944344	0.2383245909950666	0.1368175084012864	0.28377486016159104	0.1404052739033372	0.2968282999509301	0.001668856767411301	0.2312327270390128	0.0014263715520483689	0.26698512300140387	0.15506740258184598	0.14330328449710772	0.16892970829202109
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales	0.0011334920915528842	0.004428886690510616	0.0007598521742133803	0.0073151097266459	0.0010498136580756915	0.006130153627630546	0.0008810281598625596	0.003725434005520279	0.0	0.007030293455507722	0.0	0.006197932807116685	0.0	0.005931712962962963	0.0007770596819741106	0.006318601153733923	0.0016132572992234922	0.0484655211225332	0.002606755600767577	0.00014572302909603147	0.0005132217706992436	0.0	0.0008481684274014947	0.04700193423597679	0.0028554859368893483	0.04334976789781737	0.0017288444040036396	0.0	0.000773127708490163	0.0	0.0	0.045471958661855764	0.0009299903281005877	0.006562374042724708	0.0009893052689034063	0.007124133955471444	0.002001450326323423	0.005637998719269427	0.001534807993445955	0.00784010345703531	0.0008393643214205774	0.005225791126712238	0.00037559155670180536	0.006735170578931381	0.0005591857250565468	0.009034051424600417	0.0	0.006597593272313339	0.0	0.0009851057885992384	0.0006667201689024428	0.0	0.0	0.0	0.0	0.0012781913894727914	0.0	0.0009881422924901185	0.0002060562623185809	0.001434787112814669	0.000349946914832411	0.0	0.0005020200329898879	0.0013606448273312136	0.008638090070537167	0.006015134855442727	0.01092336576207544	0.007566204287515763	0.00521948608137045	0.005966382960523502	0.007029502609436575	0.007533355027660267	0.009084615895232948	0.00546270535913734	0.009048656371541711	0.011700404858299596	0.0038683859493108047	0.008355738309874005	0.005423368337099561	0.0055969264336195035	0.10451452085146791	0.11754610447639938	0.10663207673603799	0.00047715427289029644	0.10426192492238216	0.0008011687638437249	0.10765750833609579	0.11846114932006793	0.1000038844002486	0.11292907706691599	0.11095151001472098	0.00043363994743758215	0.13156372517513978	0.00046126443225444764	0.12183310249959957	0.10976991900633022	0.010176502579145997	0.11882273130511924
d__Bacteria;p__Firmicutes;c__Clostridia;__	0.0	7.609770945894529e-05	0.0	0.0003500052500787512	0.0	9.34474638358315e-05	0.00017620563197251192	0.00016591001644017435	0.0	0.0	0.0	0.00032812585449441275	0.0	0.00014467592592592592	0.0	0.0004377006127808579	0.0	1.5007128385983342e-05	0.0	0.0	0.0	0.0	0.0	4.6053237542599246e-05	0.0	9.370585012830494e-05	0.0	0.0	0.0	0.0	0.0	7.127266247939775e-05	0.0	5.0382910116888354e-05	0.0	0.00016314810585049108	0.0	0.00026449870534844225	0.0	0.0005888737500865991	0.0	6.59822111958616e-05	0.0	0.00025139050372372185	0.0	0.00011078546897503298	0.0	6.969288667936626e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001302224633749322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015172636150702208	0.0005178400991003798	0.0002557612424704772	0.00011133603238866397	0.0	0.00010543518372080763	5.317027781470158e-05	0.000391310534553906	0.0	0.00011170688114387846	0.00010530144933085715	0.0	0.0002446137924546053	0.0	0.0	0.0	2.913300186451212e-05	4.770173061878685e-05	0.00024981041174108935	0.0	3.213574137155344e-05	0.0	4.7108925256979185e-05	2.7642890709224433e-05	0.0005108851497223092	3.131033762980744e-05
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	0.0014974574420515167	0.018780914694467698	0.0014851656132352433	0.014653553136630382	0.0017453152065508373	0.01913804059357829	0.0016519277997422992	0.01579161701935114	0.0026385732444821077	0.018879102650183655	0.0012628920227320563	0.01866671527790437	0.002811328613077884	0.019010416666666665	0.0016962644277239733	0.018955803461201768	0.0006994185126380331	0.022278082088992273	0.0009363512357524334	0.012307524165735658	0.00022716373457179636	0.016299708776862824	0.0002544505282204484	0.02368057474440453	0.0006240465954791291	0.022720064584955166	0.0009383530482256596	0.016445604375960817	0.00018310919411609124	0.014994427746445578	0.0003453682661822301	0.026067976301839726	0.0017979813009944697	0.014737001209189842	0.0014669009159602232	0.020785068685352563	0.0026395939086294416	0.016983601080268397	0.0022192493959286106	0.01696187331131792	0.0012403939416548535	0.01862017999947214	0.0011601605862566877	0.013648409431333731	0.0027330987685348076	0.017363104410268806	0.003077662899735513	0.014740045532685963	0.00029472293503391854	0.011571317248173143	0.0	0.013314904399907856	7.090187180941577e-05	0.018060024262883063	0.00010531432274789372	0.016089461281704902	0.0002594676876239679	0.010869565217391304	0.00025981006987994983	0.012182741116751269	8.896955461840958e-05	0.014780756808597662	0.0	0.0161256131529	0.030775908844275637	0.016902744540025442	0.027535984525231837	0.02347669770062515	0.018569325481798717	0.02070056883794534	0.01668619306280399	0.012203058900097624	0.026940912065090607	0.0172308754543793	0.0298446911903481	0.01966599190283401	0.018852823477100933	0.017923981232537297	0.01749302140103682	0.017976568799506713	0.04069399382764897	0.038234218864245675	0.03802339606746951	0.01459253122476588	0.037529400696208484	0.013661105612894105	0.03117992317142133	0.04032617467448779	0.035610239279055315	0.03649182392337194	0.03888120622741669	0.013633377135348226	0.037454206568545534	0.013234741017762229	0.03866700585092852	0.037299473863646834	0.033092173569109574	0.040181599958252885
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales	6.239406008547986e-05	0.0007609770945894528	1.7269367595758642e-05	0.0008283457585197111	0.0	0.0007102007251523194	3.3038555994845986e-05	0.0008295500822008717	4.8149146797118755e-05	0.000908408704925155	0.0	0.0007656269938202964	0.0	0.0006365740740740741	8.528703826545116e-05	0.0007743933918430562	0.0	0.00011255346289487506	1.1559891799412758e-05	0.0	0.0	0.0	0.0	0.0	0.0	7.92895654931811e-05	2.8434940855323022e-05	0.0	0.0	0.0	0.0	9.79999109091719e-05	6.199935520670585e-05	0.0006297863764611044	9.381343067187473e-05	0.0009788886351029464	0.0	0.0007656541470612802	0.0	0.001143107867815163	5.5957621428038496e-05	0.0008709651877853731	1.6692958075635793e-05	0.0007960699284584525	0.0	0.0009467121894230091	0.00012022120702091849	0.0008246991590391674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005425935973955507	0.00047431170903132616	0.0011947431302270011	0.0005902712564728609	0.0008029978586723769	0.0006843163252213336	0.000710050768629957	0.000683371298405467	0.0009767384522014547	0.0006599922831671506	0.000846657906109166	0.0006882591093117409	0.0005113383726100489	0.0006589698982550477	0.0009038947228499269	0.000853768439026704	0.00025718129302840866	0.00037574132748395485	0.0006030901188949091	0.0	0.0006303509267099445	0.0	0.0005069906206735175	0.000325211086084579	5.826600372902424e-05	0.0003148314220839932	0.0005263862247401526	0.0	0.0007873256636030593	2.8385503523350626e-05	0.0006877903087518961	0.0002580003132860947	0.000980569884144432	0.0005948964149663414
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.13143308757006333	0.007244501940491591	0.21136842468828793	0.0050750761261418925	0.37053173061781536	0.00818599783201884	0.306762992412145	0.008717817227492798	0.11971803859635607	0.008768118804060192	0.20609696204307865	0.025211003153654047	0.3890696584756351	0.009794560185185186	0.3415082538900366	0.007631702992076496	0.086855526682561	0.00884670218353718	0.1260259403971979	0.0011414970612522465	0.0646575296364539	0.0017259991966258284	0.04423198348898795	0.0050934880722114766	0.1551858902434412	0.011972724389470345	0.12855436760691538	0.002967359050445104	0.06038534312628431	0.007452185561671901	0.06457005104542975	0.004409995990912735	0.38397440666617066	0.04193117694478033	0.26530438194006173	0.003708900273001164	0.4369543147208122	0.03200434334716151	0.3138371236868577	0.0070087522804424636	0.3636592553905842	0.007205257462588086	0.2759262505112218	0.006284762593093046	0.4336202563458155	0.008258553141775185	0.2700649194517913	0.004762347256423361	0.20060469015981097	0.04871862732124741	0.12875107261693838	0.00046072333563695	0.11237946681792399	0.012701091829737856	0.165400194426442	0.0012297291566965719	0.21857558005443056	0.06351236146632566	0.09062891954846802	0.013482855070962396	0.17056649881077363	0.0044708968590891785	0.09306495182998255	0.0016712267987872515	0.016842105263157894	0.002005044951814242	0.023894862604540025	0.002629390142470017	0.04935091006423983	0.001176168683974167	0.04924202080448752	0.002147738366417182	0.012090694432590822	0.002223666307901631	0.014110965101819433	0.00201417004048583	0.04313028012449978	0.001397016184300701	0.053382958925960386	0.001517810558269696	0.005756904328558994	0.005047119993500691	0.00672971989814478	0.0015258449825392996	0.004497130492050052	0.0011605165182148075	0.020416122301737418	0.007503944690025656	0.005020587321317589	0.0020797954549791066	0.003309987955569434	0.00012483574244415244	0.005270261584934765	0.0009934926233172718	0.0075751151813222535	0.00415564790328674	0.00251322533331136	0.0033919532432291396
