# Constructed from biom file
#OTU ID	B24F10	B24F11	B24F12	B24F13	B24F14	B24F15	B24F16	B24F1	B24F2	B24F3	B24F4	B24F5	B24F6	B24F7	B24F8	B24F9	B24M10	B24M11	B24M12	B24M13	B24M14	B24M15	B24M16	B24M1	B24M2	B24M3	B24M4	B24M5	B24M6	B24M7	B24M8	B24M9	B72F10	B72F11	B72F12	B72F13	B72F14	B72F15	B72F16	B72F1	B72F2	B72F3	B72F4	B72F5	B72F6	B72F7	B72F8	B72F9	B72M10	B72M11	B72M12	B72M13	B72M14	B72M15	B72M16	B72M1	B72M2	B72M3	B72M4	B72M5	B72M6	B72M7	B72M8	B72M9	B8F10	B8F11	B8F12	B8F13	B8F14	B8F15	B8F16	B8F1	B8F2	B8F3	B8F4	B8F5	B8F6	B8F7	B8F8	B8F9	B8M10	B8M11	B8M12	B8M13	B8M14	B8M15	B8M16	B8M1	B8M2	B8M3	B8M4	B8M5	B8M6	B8M7	B8M8	B8M9	FStool	MStool
d__Bacteria;p__Firmicutes	0.18724457431652505	0.8072292823985998	0.24027734604358789	0.8260823912358686	0.405700488163351	0.8311030538631181	0.33620034580355274	0.8064282590006184	0.17733330765378838	0.8233342549073818	0.2377394232793096	0.7773301492972639	0.43091420241566014	0.8161168981481481	0.36558762769364894	0.8117887365042311	0.10064989763984541	0.8722593231785097	0.1410769195200333	0.9921856025647253	0.07217917329227559	0.9911189495882707	0.052708955716183996	0.8992078843142673	0.1787735908523594	0.8764236081077185	0.14724181073703366	0.9861642415358765	0.06986633028829525	0.8973804779755271	0.07336312710242932	0.9096886275557932	0.4137092974233068	0.7282723700120919	0.2893803196479438	0.8078985436312418	0.467643219724438	0.786466018876855	0.34095552167916293	0.8086968570306907	0.3870122360665523	0.8118451265538811	0.29534016075318625	0.8255245158114152	0.4639168132696657	0.8005257274073179	0.30447222890117814	0.8179157180690424	0.21011204552961205	0.7925764192139738	0.13130065992950052	0.9947477539737388	0.12074588769143506	0.9208186085764017	0.16748217757615036	0.9889263798106338	0.22671709949720928	0.7239466273993128	0.09735262497760258	0.8957474360302496	0.17341945586220395	0.9887169795354216	0.09637589347613014	0.9858216865094037	0.7189907759088443	0.8073000883944549	0.7619047619047619	0.8652840009658984	0.5611951284796574	0.8608699371284376	0.5646678737529733	0.7029450048812236	0.6783021820147365	0.6948094145360761	0.6913049996913226	0.8176113360323887	0.5697643397065363	0.8454056618693658	0.5967300279143959	0.7518142579329318	0.5812099390678167	0.7283085547160614	0.579110107024564	0.9940591671298384	0.5667983817856806	0.9914934728309533	0.5952557377688513	0.7296652734784337	0.5894577377252952	0.7312866110782499	0.5651336039612794	0.9952562417871222	0.5958769843820297	0.9962602099107986	0.579533998511358	0.7197471596929796	0.8398787059773563	0.7013306893492668
d__Bacteria;p__Bacteroidota	0.057558520428855175	0.17172209116505593	0.03994404724898974	0.15410731160967414	0.06817227442129022	0.1479460247448884	0.08540466724667688	0.16345153165110632	0.06255537151881668	0.14546388087997156	0.048095137865712484	0.13695608582314017	0.07863910870470638	0.16028645833333333	0.07515683338703258	0.1582231599739624	0.005753610684255936	0.026870263375103173	0.0076931079925091905	0.00037037936561908	0.00827044263274355	0.0002636071500301265	0.005833513961794724	0.025845076908906695	0.007267936611994302	0.02957500792895655	0.006346678798908098	0.0	0.012227625073752314	0.0015985050600565106	0.005429189144384657	0.029996881821016525	0.047441906604171316	0.15360489721886336	0.04503897521619731	0.1697284127864609	0.06372733865119652	0.15988250689088732	0.09245144095655872	0.166131676789137	0.04692979183764829	0.16139248858507746	0.03952057824406774	0.151075218133635	0.05623272178939432	0.16594656111832895	0.06234671796104833	0.16317427867862286	0.007617063441652481	0.0028376927940246717	0.002450813954206202	0.0	0.011037058044999055	0.001318634949100691	0.0042044718081659105	0.0004906801068592233	0.010269154481295263	0.002706089023224573	0.001984411395807203	0.0015383818502020098	0.01259215763032557	6.346699011325331e-05	0.008223566254691497	0.000882447188740171	0.21543136190992945	0.17972101847659702	0.18985037264607157	0.11161492849668643	0.20446332976445397	0.11999059065052821	0.20105087513757233	0.2801496908558412	0.2595848387433264	0.2910972117864468	0.2504872692636722	0.15682186234817813	0.21496220542463318	0.13089778058938267	0.24413133058620232	0.23559265759142436	0.28930917148057295	0.13758225688520595	0.2915318489019931	0.0022389546651006217	0.30376328911468625	0.0031045289598944344	0.2383245909950666	0.1368175084012864	0.28377486016159104	0.1404052739033372	0.29684614355176875	0.001668856767411301	0.2312327270390128	0.0014831425590950702	0.26698512300140387	0.15506740258184598	0.14330328449710772	0.16892970829202109
d__Bacteria;p__Actinobacteriota	0.0012270831816811039	0.005265961494559014	0.0009152764825752081	0.007875118126771902	0.001443493779854076	0.006709527903412701	0.0008810281598625596	0.0046153150027903045	0.00016370709911020376	0.007030293455507722	0.00010524100189433803	0.006781267659551196	0.0003514160766347355	0.006944444444444444	0.001099255159865815	0.0072613409351080785	0.001623467788459084	0.05113678997523824	0.0027570341941599427	0.00014572302909603147	0.0005805295439057018	0.0	0.0009047129892282609	0.05062171870682509	0.00286809293881822	0.04651414237522706	0.0018482711555959964	0.0	0.000773127708490163	0.0	0.0	0.04790413826896521	0.0013887855566302111	0.007129181781539702	0.0010404762310880652	0.008190034913694652	0.002001450326323423	0.0063758108973466605	0.0017318441547667196	0.008821559707179641	0.0010631948071327315	0.008010240439177597	0.0005842535326472528	0.00751029129874619	0.0009173159085197286	0.01013183470808029	0.0011060351045924502	0.007491985318031873	0.0	0.001176245717730434	0.0006914135084914221	0.0	0.0	0.0	0.0	0.0014114625296073953	1.1531897227731907e-05	0.0025510863106771036	0.0002060562623185809	0.0015021236921164405	0.0003796034330385475	0.0	0.0005020200329898879	0.0014740318962754813	0.009929462832338578	0.006554125433887416	0.011947431302270013	0.008317458613935768	0.006022483940042827	0.006693469056071169	0.007988071147087017	0.008444516758867556	0.009862213497956436	0.005919623093637675	0.010062881988234983	0.012095141700404858	0.004891062694530902	0.00925193737150087	0.006061411670875981	0.006154247497984158	0.10976695418216349	0.12539605166951012	0.11237579215408473	0.00047715427289029644	0.10949289679179602	0.0008365144446015364	0.11024121053760505	0.1247726533611168	0.10610239279055314	0.11872006716403671	0.11684882009189454	0.00043363994743758215	0.13834436660453756	0.00046126443225444764	0.12778767065208174	0.11574999769642577	0.011338354290611249	0.12431247716954548
d__Bacteria;__	6.239406008547986e-05	0.0	0.0005526197630642765	0.0	3.9368012177838436e-05	3.7378985534332596e-05	0.0006607711198969198	0.0006334746082261203	0.00039482300373637377	0.0008294166436273154	0.0	0.0	9.110787172011662e-05	0.0	1.895267517010026e-05	0.0006397162802181769	3.063146770677517e-05	2.251069257897501e-05	0.0	0.0	0.0	0.0	1.4136140456691577e-05	0.00011052777010223818	8.194551253766342e-05	0.0	0.0	0.0	0.0	0.0	2.7629461294578408e-05	0.0	0.0	0.0010580411124546554	0.00017909836764630631	6.525924234019643e-05	0.0	2.7841968984046552e-05	0.0005392568625620923	0.0004734083088931483	0.0013616354547489368	0.0007126078809153052	5.007887422690738e-05	0.0012464779142967875	0.0	0.0007150698452024856	0.00024044241404183698	0.0003252334711703759	0.00014228003760258137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.765948613865953e-05	2.5833785424578262e-05	0.0	2.589868434683518e-05	0.0002253895383666376	0.0	0.0	0.0	0.00035811177428106346	4.31192462755751e-05	0.00017067759003242875	0.0005634407448150036	0.0	6.415465548950002e-05	0.0008520609223559484	0.0012040351448096324	0.000711217319564166	0.0018276709380013402	0.00014110965101819432	0.0013663967611336032	0.0	0.0003163055511624229	0.00018609597235145554	0.000901200018972632	0.0008605681728258289	0.0001015517101307986	0.0003446229250828052	0.0	0.0008091071596575407	1.76728403789057e-05	0.0012772263713121308	9.635884032135673e-05	0.0007477470478558111	0.0009921959968707665	7.137440335459695e-05	0.0	0.000514171861944855	0.0	0.00039571497215862517	0.0	0.0007663277245834638	0.00028179303866826696
d__Bacteria;p__Proteobacteria	0.7537410438526252	0.015782664941785252	0.7179566884260699	0.011445171677575163	0.5246443756233269	0.013718087691100063	0.5764016607380813	0.02374021507971222	0.7591387080620932	0.023342154113511593	0.7140601978530836	0.07893249722004485	0.49000416493127863	0.016030092592592592	0.5581373310842825	0.022087046306480215	0.8918913399735549	0.04903579200120057	0.8479758629459229	0.006502890173410405	0.9189698545310752	0.008052570797348866	0.9398554344035962	0.022179239200515795	0.8106365275273887	0.04660784822535536	0.844108280254777	0.013746380179471596	0.9171329169294623	0.10099850280864094	0.9211800542918914	0.010566172212570717	0.5374600104158916	0.10930572349858927	0.6636959080287239	0.013617428568320988	0.46662799129804206	0.047247821365927	0.5643219363469496	0.015264531325774195	0.5635771842124897	0.01803953654094856	0.6645049285958718	0.014643496841906797	0.4789331490324202	0.02231823629533392	0.6318345756191392	0.011092784463132463	0.782128610991133	0.2032699630952906	0.8654892059239322	0.0052522460262612305	0.8682170542635659	0.0778627564744976	0.8282728451069346	0.00780847725606838	0.762944554638129	0.2707703634813609	0.9004569073642716	0.10099450947891847	0.8131876605159047	0.011156086484351862	0.8948566852334393	0.011718307081761936	0.05529028757460662	0.006381648448785115	0.036126756556864086	0.014220171178664377	0.22831905781584583	0.012061075232026004	0.22544111904001135	0.007256752359258054	0.051520582629228186	0.006325772190971306	0.04796846199299743	0.012105263157894737	0.2103823921742997	0.014128314618588224	0.1528911338561744	0.0055376369586870935	0.018111497982116007	0.007332033471443659	0.015201700139763743	0.0030621768721750893	0.01783799040361276	0.004424101041519393	0.05343876138291442	0.006552401141852258	0.018674254195152267	0.007164799938941785	0.019538742918320917	0.002030223390275953	0.0326499132334983	0.0014121788002866935	0.023507353703232616	0.006219650409575497	0.00466388701198108	0.0043938840473829776
d__Bacteria;p__Desulfobacterota	0.0	0.0	0.00026767519773425897	0.0004900073501102516	0.0	0.0	0.00042950122793299783	4.524818630186573e-05	0.00038519317437695004	0.0	0.0	0.0	0.0	4.340277777777778e-05	0.0	0.0	5.105244617795862e-05	0.0006378029564042921	0.0002716574572861998	0.00040681012289308787	0.0	0.0	0.0003628276050550838	0.0011421202910564612	0.0003719065569017032	0.0008433526511547444	0.00017629663330300273	0.0	0.0	0.0	0.0	0.0010869081028108156	0.0	0.0006297863764611044	0.0	0.000500320857941506	0.0	0.0	0.0	0.0006119668383252892	3.7305080952025664e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013967917898048901	0.0	0.0	0.0	0.0	4.050550874918989e-05	0.0013630002968311758	0.0	0.0	0.0	0.00017611105355847922	1.186260728245461e-05	6.346699011325331e-05	4.183500274915732e-05	0.00010352732381867928	0.0	0.0	0.0	0.0	0.0	0.00027800350712116676	0.0	0.0	1.896579518837776e-05	0.0	3.527741275454858e-05	0.0	0.0	0.0	0.0	0.0	0.000741869114505025	0.0012795515476480624	0.0012636173919702857	0.00014157324580261544	0.00119484429391288	0.00010603704227343418	0.0014624729442505313	0.0012285752140972982	0.001243008079552517	0.0014310519185636054	0.001311504661640719	0.0005716162943495401	0.001381836878976798	4.257825528502594e-05	0.001337893477298209	0.0031881467284638845	4.944049836022347e-05	0.0007514481031153786
d__Bacteria;p__Cloacimonadota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.909082809924718e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.431398528118714e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Cyanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7799458997063786e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2514155775443812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7642890709224433e-05	0.0	0.0
d__Bacteria;p__Chloroflexi	0.0	0.0	0.0	0.0	0.0	0.0	2.202570399656399e-05	0.0010859564712447777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003885947442560839	0.0	9.414541072504519e-05	0.00027801076231493435	0.0008473795707838261	0.0	0.0	0.00010805277525022747	0.0	0.0	0.0	0.0	8.909082809924718e-05	0.0	0.0	0.0006652225084005663	0.0	0.0	0.0	0.0	0.0	1.8652540476012832e-05	0.0	0.0	0.0	0.0	0.00017121390659777824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.553921060810111e-05	0.00018387041287804646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004522456824670002	0.0	0.0	0.0
d__Archaea;p__Thermoplasmatota	0.0001663841602279463	0.0	0.0	0.0	0.0	0.000373789855343326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004016870857601928	4.2408421370074735e-05	0.0	0.0	0.0	0.00017060964513193814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019135671913869334	0.0	0.0	0.0	0.0	6.790668386969325e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002767586593526686	0.0	0.0	0.0	0.0
