# Constructed from biom file
#OTU ID	B24F10	B24F11	B24F12	B24F13	B24F14	B24F15	B24F16	B24F1	B24F2	B24F3	B24F4	B24F5	B24F6	B24F7	B24F8	B24F9	B24M10	B24M11	B24M12	B24M13	B24M14	B24M15	B24M16	B24M1	B24M2	B24M3	B24M4	B24M5	B24M6	B24M7	B24M8	B24M9	B72F10	B72F11	B72F12	B72F13	B72F14	B72F15	B72F16	B72F1	B72F2	B72F3	B72F4	B72F5	B72F6	B72F7	B72F8	B72F9	B72M10	B72M11	B72M12	B72M13	B72M14	B72M15	B72M16	B72M1	B72M2	B72M3	B72M4	B72M5	B72M6	B72M7	B72M8	B72M9	B8F10	B8F11	B8F12	B8F13	B8F14	B8F15	B8F16	B8F1	B8F2	B8F3	B8F4	B8F5	B8F6	B8F7	B8F8	B8F9	B8M10	B8M11	B8M12	B8M13	B8M14	B8M15	B8M16	B8M1	B8M2	B8M3	B8M4	B8M5	B8M6	B8M7	B8M8	B8M9	FStool	MStool
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis;s__uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.467886941336265e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.173547232046002e-05	0.0	0.0	0.0	0.0	0.0	0.000267072881221809	0.0	0.0	0.0	0.0	0.0	0.0	0.0002770316659239006	0.0	0.0	0.0	0.0	0.0003052895430297577	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;__	0.0	0.0025416634959287724	0.0	0.002578372008913467	0.0	0.002392255074197286	0.00018721848397079392	0.0035142758027782387	0.0002985247101421363	0.004147083218136578	0.0	0.003044278761142607	0.00020824656393169514	0.002907986111111111	0.00017057407653090233	0.0025027496576956747	7.657866926693793e-05	0.001073009679597809	8.09192425958893e-05	0.0	0.0	0.0	3.769637455117754e-05	0.0013079119462098185	5.042800771548518e-05	0.0009154340743303636	0.0	0.0	0.0	0.0	0.0	0.0012561806761993853	0.00022319767874414106	0.003325272067714631	6.822794957954527e-05	0.002958418986088905	0.0	0.0011415207283459086	0.0	0.002020645220885389	0.00019585167499813476	0.003114360368444667	0.0	0.002566278058846327	0.0	0.0023164234422052353	0.0	0.003716953956232867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1667570849156524e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0027780792186652198	0.0022422008063299054	0.003925584570745861	0.002119610420970728	0.0021413276231263384	0.002630340875069501	0.0030532183051088153	0.002554506996420436	0.0023327928081704648	0.0023150498548016978	0.0026017091906479577	0.0013360323886639676	0.00213428190306803	0.001423374980230903	0.002552173335105676	0.0033083527012284777	0.0026905119886048903	0.0021224307417336908	0.0025463805020007274	0.0	0.003876187788126823	0.0	0.0028664469707310415	0.002095804776989509	0.0034862492231199503	0.0018222061096376577	0.0030334121425703705	0.0	0.00416157850761617	2.128912764251297e-05	0.0029961276463438763	0.002377288600993301	0.00275218774205244	0.0037363669571570213
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;__	0.011220531805372129	0.10034243969256526	0.0055261976306427655	0.10368322191499539	0.006666316728780641	0.11400590587971443	0.006398467011001839	0.1119741783683504	0.00998613304572243	0.10758718748765748	0.007121307794850207	0.09517472701751828	0.008017492711370262	0.10238715277777778	0.005183556659022421	0.11366748221139818	0.0015570996084277378	0.04157724919336685	0.0022310591172866622	0.0	0.0008581741083823418	0.0003138180357501506	0.0004994769628031024	0.04814405452703325	0.002792450927244992	0.04404895770262088	0.0022065514103730664	0.0	0.000752782242477264	0.0006078822059369829	0.000676921801717171	0.043280324290614285	0.0056543411948515735	0.09153315195485691	0.004920940863424702	0.10089078865794368	0.006613488034807832	0.09239357407355848	0.004791089817378589	0.09926563979400965	0.005614414683279863	0.10132228351236507	0.003972924022001318	0.10904063099016435	0.0050138225684845435	0.09543664581885569	0.005025246453474393	0.10517818148027691	0.00027947864529078483	0.002124593827650596	0.0002531067307870385	0.0	0.0	0.0	0.0002997407647440052	0.001556849227936054	0.0008879560865353568	0.001530651786406262	0.00050170220390611	0.0017714700093235264	0.0004092599512446841	0.0	0.0003227271640649279	0.0017747541226059305	0.11735214324470972	0.13815406506694264	0.10638903112021392	0.10759035174800784	0.07548179871520343	0.09993156836747787	0.08630667092697128	0.10013016596160104	0.117682759143884	0.10215665170684159	0.11064760510464162	0.10036437246963563	0.07781236104935527	0.1063841003742949	0.08414196464176525	0.10804913911682398	0.09408878689562396	0.09299090096677227	0.09139208516015393	0.0007917614857849974	0.08834321196725939	0.0009602243272538762	0.08411169393366223	0.09818965828746251	0.09768295525170914	0.0996107538781507	0.09792568140250703	0.0015900131406044679	0.09963686612250144	0.0014760461832142326	0.09171165569028708	0.09735826107788845	0.1018144662898202	0.10982622762615457
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__uncultured;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004307045846777219	0.0	0.0	0.0	0.0	0.0	0.003730312240950539	0.0	0.0014704610327826312	5.1182893539581436e-05	0.0	0.0	0.0	0.0	0.00205799812909261	0.0	0.0	0.0	0.0	0.0	0.0001252888604282095	0.0	0.00013855852943214095	0.0	0.00023753596030510175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.254149040026033e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00023739811664160799	0.003117637501015517	0.0004307786563535065	0.0	0.0	0.0	6.824873739835813e-05	0.002734182094118497	0.0	0.004617527523898567	3.568720167729848e-05	2.628120893561104e-05	0.0	0.0	0.0	0.003980576262128319	9.888099672044694e-05	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;__;__	0.0	0.00022829312837683585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.489237054162645e-05	0.0	0.021625272004201997	0.0	0.00823335114392578	0.0	0.007996083550913838	0.0	0.01644100580270793	0.0	0.018726753741025864	1.7060964513193813e-05	0.0025383432841156912	0.0	0.0009793657762318057	0.0	0.01629471245935231	0.0	0.0	0.0	0.00029366659053088395	0.0	2.7841968984046552e-05	0.0	0.0001616516176708311	0.0	3.9589326717516956e-05	0.0	4.189841728728697e-05	0.0	0.00021149953167960844	0.0	0.0	0.0	0.008402805346036787	0.0	0.0001612531674729325	0.0	0.004420064349385516	0.0	0.00982571769537852	0.0	0.005980521325789868	0.0	0.007930177147000932	0.0	0.009082831473985586	0.0	0.010860509255835737	2.170374389582203e-05	0.0017463294741607916	0.0	0.0	0.0	0.0	0.0	4.88122356003905e-05	0.0	0.0	3.527741275454858e-05	0.00011133603238866397	0.0	0.0	0.0	3.5573684959446e-05	0.0020574503442272692	0.010033308960922901	1.9145718060155847e-05	0.009737093239090996	0.0002446137924546053	0.012683208445261322	0.00031199422810678	0.009912915698059573	0.0013498290863890616	0.009874258238088877	0.0004104028192889325	0.0076478318002628125	6.427148274310688e-05	0.00578354634288269	0.002148166991718251	0.007979581118062786	0.0	0.00018786202577884465
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia;__	0.0	0.007731527281028841	0.0003540220357130522	0.007805117076756151	0.00032806676814865364	0.011699622472246103	0.0	0.009924435528875885	0.0014348445745541389	0.008096686283028556	0.0007366870132603662	0.007255227227154238	0.00033840066638900456	0.005787037037037037	0.0	0.008866243181971224	0.004359878903597666	0.5272229308921738	0.005016993040945137	0.851538592315539	0.00425721665530848	0.7949136372765616	0.004226705996550782	0.5451782260292899	0.008686224328992322	0.5268214975636479	0.006687898089171975	0.8244968002574095	0.006347785396024496	0.7143966769106076	0.00504237668626056	0.5574324023341797	0.0029387694367978574	0.007922712615880694	0.00534736554829686	0.01795716818394405	0.004583031182015954	0.018222568700058468	0.004293314251936658	0.010738286030990925	0.0	0.01097943994299137	0.002345360609626829	0.009469042306926856	0.005309122895199799	0.01365682690274043	0.009040634767973071	0.010639780699716583	0.006555044589547499	0.6054504285945334	0.001469253705544272	0.8541580281041234	0.0021034221970126677	0.7129595442797616	0.0012313674659753726	0.8075867625411172	0.005131694266340699	0.5531594719574259	0.0056217523741265004	0.7407127317932249	0.001613314590413827	0.805346741322652	0.0024742415911644475	0.8289580714338535	0.004026044492674986	0.006877519780954229	0.004892757580929624	0.00579539051809718	0.003580032119914347	0.006394080663786835	0.0033372386125607983	0.0036771884152294173	0.0032052193868358416	0.0057165485449708585	0.003201425207475284	0.00548582995951417	0.002912405513561583	0.0047973008592967475	0.002392662501661571	0.004932884314376512	0.021959325789348737	0.19218661142253635	0.025042599222683846	0.8490409723460259	0.022259855113369083	0.8274364955935718	0.08798237232611196	0.19783674403478554	0.020917495338719703	0.2218225877234826	0.021965472632377213	0.8495663600525624	0.022768172761745614	0.8817956669528871	0.022923203030046073	0.20216167405346136	0.0024967451671912854	0.019631581693889264
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__	0.04536048168214386	0.12340004565862568	0.03271681691016475	0.10666993338233406	0.05700488163351005	0.10793182073038537	0.07363192846051342	0.11847483446705177	0.050681791918647204	0.09830562028516134	0.04146495474636919	0.10206536996190094	0.06364535610162432	0.11404803240740741	0.06422113981388473	0.11252272676258669	0.004543667709838317	0.016402791325879792	0.005739486278408434	0.0001639384077330354	0.007336547279503941	0.00013180357501506326	0.005197387641243604	0.017352859906051395	0.006076574929715964	0.01815010235562091	0.004873748862602366	0.0	0.01106793351101707	0.0015084484369547353	0.004434528537779835	0.019225800703817544	0.037881606031297275	0.10627015316404675	0.03653606699984649	0.11882620376110767	0.050616388687454675	0.11420775677255895	0.07767372885750137	0.11193219869293121	0.03695068268298142	0.1116023120166803	0.03188354992446436	0.10546879091642314	0.0459788891681327	0.11612331429837548	0.05220004808848281	0.11286762997723365	0.007581493432251836	0.002499522150177172	0.002284133911980591	0.0	0.010871620344110417	0.001318634949100691	0.004034348671419313	0.00032106229214245476	0.009698325568522534	0.002589836988813971	0.001679806486292779	0.0012690355329949238	0.012224416804569477	6.346699011325331e-05	0.007572135497597475	0.0004190391678375114	0.17356483993488878	0.13463984649548325	0.12925982818455936	0.0658689061200397	0.15076284796573874	0.07168213506693469	0.16302765647743814	0.2065896518060527	0.2090125458735171	0.22231586215299637	0.19978480778219726	0.09473684210526316	0.16156069364161849	0.07559702672781907	0.19290176791173733	0.1763387563439738	0.21939542612961938	0.0829474368348363	0.22485688575750035	0.0011588032341621486	0.23612757550098787	0.0009837881144257505	0.18144414328334926	0.08774676896763547	0.22021636109384712	0.09554656642943006	0.2311638488647009	0.0012352168199737188	0.17136384086380874	0.0008870469851047071	0.20659148082195652	0.10383591180075004	0.10065261457835495	0.11077597453425873
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;__	0.0022773831931200148	0.026755954645765162	0.0014419921942458466	0.025445381680725212	0.0029657235840638285	0.025716742047620828	0.0011453366078213274	0.01942655465226769	0.0023015292169022766	0.03372961017417749	0.00266610538132323	0.026140693074721548	0.002407850895460225	0.026085069444444445	0.0007675833443890605	0.01852932594105632	0.0002756832093609765	0.008028813686501088	0.00047973550967562946	0.00021858454364404723	0.0006141834305089309	0.0	0.0	0.0072672008842221605	0.00039081705979501015	0.005723265000144163	7.393084622383985e-05	0.0	0.0	0.0	0.000573311321862502	0.006663993941823689	0.0008679909728938819	0.023868903667875856	0.0010490047247855084	0.029497177537768787	0.0	0.027340813542333715	0.0010577730765641041	0.023762787797612175	0.0009699321047526673	0.024215471508881207	0.0007428366343657928	0.023211723177156984	0.0	0.026538155522655628	0.0	0.02677368396598987	0.0	0.0	0.0	0.0	0.00018907165815844205	0.0	0.0	0.0005027956650532782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023060227889310905	0.019511458939697735	0.031290891505945266	0.024871884306833732	0.024759100642398287	0.030045763654249175	0.024851776902048497	0.01867881548974943	0.018946829393189382	0.016926263631379078	0.026361046680836428	0.025718623481781378	0.022387727879057358	0.030866150034266435	0.0217732287651203	0.01937580040791159	0.027162301179077312	0.01740596311641888	0.030231088816986083	0.0	0.03120707498353561	0.0005890946792968566	0.02249283388257317	0.02039193958300712	0.028909648850217528	0.01588467629605602	0.02945086318419057	0.0	0.030818175975319752	0.0006457702051562267	0.0280674976681082	0.019184166152201757	0.03872839038217505	0.031477326097166414
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;__	0.008807961482066907	0.2	0.0042914378475460225	0.21290819362290433	0.0037530838276205974	0.20022053601465256	0.0019823133596907593	0.15708662011131053	0.0077423828049766955	0.17374303882459813	0.006910825791061531	0.18240151667061633	0.004282069970845481	0.19956597222222222	0.0015541193639482212	0.16320621310408295	0.0013018373775379448	0.0274780520747355	0.001098189720944212	0.0006861125953271482	0.0006310103738105454	0.0	0.0005041890096219996	0.02851616468637745	0.003095018973537903	0.02710261511403281	0.0014103730664240218	0.0005183940509813736	0.0	0.0	0.00044897874603689914	0.02671833934696423	0.0016243831064156932	0.15496523579201935	3.4113974789772634e-05	0.17065291871961366	0.0018274111675126903	0.17156221287969486	0.001005921455163903	0.19111839826339977	0.001389614265462956	0.17780886273060784	0.0011434676281810519	0.20871696571662005	0.0016398592611208847	0.19815491837125218	0.0022601586919932678	0.1926543697439948	0.0	0.0	0.0	0.0	0.0002127056154282473	0.0002531779102273327	0.0	0.0005088534441503056	0.0005304672724756677	0.0007104290991759022	0.0	0.0007355226354501191	0.0	0.0	0.0	0.0010895018363775296	0.13683125339121	0.14641140072871525	0.143710530807305	0.18987953100265623	0.10395476445396146	0.2093794106325649	0.09266162530620939	0.1560364464692483	0.12286990412790533	0.16437869341835387	0.13544762627108928	0.1936234817813765	0.11040462427745665	0.20254098792767147	0.10719128007443839	0.17373001944694777	0.11653280050644932	0.06173328458851247	0.12499282035572744	0.0006239709722411569	0.12284316492614546	0.00043593006267967385	0.10135912485619016	0.06653577924189683	0.12629156308266004	0.06496021675666393	0.11877592898246866	3.2851511169513796e-05	0.12075004820361206	0.0006670593327987396	0.11873333521769035	0.06856358325577967	0.1854677895153183	0.12779836142566403
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group;s__uncultured_Clostridium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011930667066856757	0.0	0.0	0.0	0.0	0.0	0.0007092198581560284	0.0	0.0005838595277225154	0.0	0.0	0.0	0.0	0.0	0.001238362510579536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2196318371222113e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017705942866186595	0.0017974652693151353	0.0009189944668874806	0.0	0.0016652554332486594	0.0	0.0008384844880369713	0.0017465039808245908	0.0011556090739589808	0.0017745043790188709	0.001570236873801133	0.0	0.001719262163378109	0.0	0.0011400359912188964	0.001898145162033411	0.0	0.0014298387517612066
