# Constructed from biom file
#OTU ID	SP_F1	SP_F2	SP_F3	SP_M1	SP_M2	SP_M3
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae	0.4007102766602096	0.5072540274870301	0.642933105528339	0.5364858521790412	0.6145137006925625	0.6098619714188167
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__CAG-138	0.0	0.009429325566578684	0.0	0.000276818274820369	0.00042155977115326706	0.00032922011412963957
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae	0.00038494014801569563	0.0	0.0	0.0	0.0002408912978018669	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__CAG-74	0.0037624795112501863	0.016128151451715665	0.001691103401384264	0.000433280777979708	0.004305931948208371	0.006669755645515291
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	0.0	0.0002730499681441704	0.0	0.0	0.00030111412225233364	0.00021948007608642636
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae	0.011349525654398252	0.012942568490033677	0.06485468714587074	0.013251170459879403	0.07886178861788617	0.03225137784714432
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Acutalibacteraceae	0.049582774549247505	0.052716847183034495	0.005892710821318363	0.003947669310481784	0.04296898524540801	0.006242988830902795
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__RF39;f__UBA660	0.00018626136194307852	0.04867570765450077	0.0009763071183249359	8.424904016272101e-05	0.0018367961457392353	0.0020606740477003365
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Peptostreptococcaceae_256921	0.023195748273978047	0.046636934559024304	0.021531058770201714	0.003237570257681707	0.018006624510689552	0.0021460274106228357
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Anaerovoracaceae	0.0018750310435603238	0.004641849458450896	0.002545372129918583	0.000794348092962798	0.0062029509183980725	0.0009510803297078476
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae_42771	6.208712064769285e-05	0.0	0.003539113303927893	0.01789690324599516	0.0001806684733514002	0.00019509340096571234
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae_23353	0.0	0.0	0.00022664272389686011	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309	0.005947946158048974	0.01916810776372076	0.019386669921023728	0.000517529818142429	0.004426377597109304	0.006657562307954934
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0.11779168529280286	0.0001274233184672795	0.0008368346728499451	0.000324960583484781	0.016049382716049384	0.00687704238404136
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.028348979287736553	0.002020569764266861	0.006468034658902701	0.015898997436422063	0.0011743450767841012	0.005511388577281374
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Tissierellales;f__Peptoniphilaceae	2.4834848259077136e-05	3.6406662419222716e-05	0.00010460433410624314	0.002828360634034205	0.0	8.535336292249915e-05
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Eubacteriales_258471;f__Anaerofustaceae	0.0	9.101665604805679e-05	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	0.0017756916505240153	0.0058978793119140805	0.0038529263062466223	0.002322866393057879	0.00806985847636254	0.0037921279812710334
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae	0.20929568370337256	0.08681168653863656	0.060252096445196045	0.03440971511788848	0.048690153568202346	0.1924108667024338
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Enterobacteriaceae_A	0.0006581234788655442	0.0009829798853190133	0.00556146376331526	0.0328932323949595	0.00015055706112616682	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae	0.0	0.0	0.00967590090482749	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae	0.0	0.0	0.0	0.0	0.0	0.0003536067892503536
d__Bacteria;p__Firmicutes_B_370539;c__Peptococcia;o__Peptococcales;f__BICA1-8	0.0	0.0	0.0	0.0	0.00012044564890093345	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	0.0003104356032384642	0.000709929917174843	0.0175386600184801	0.00409209623647502	0.038964167419451974	0.042274301321757794
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.00013659166542492426	0.0029489396559570402	0.0003138130023187294	0.0	0.0005118940078289672	0.0013900404818807004
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae	0.012106988526300105	0.03196504960407755	0.036646385048553845	0.002070119272569716	0.005781391147244806	0.016875579183534117
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__ML615J-28;f__CAG-313	0.0	3.6406662419222716e-05	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Bacillales_B_306089;f__Bacillaceae_H_294103	0.0	0.0	0.0	6.0177885830515e-05	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239	0.0	0.0	0.0	0.0	0.0	0.00010974003804321318
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae	0.09185168628619679	0.07448803130972968	0.04395125438030649	0.22416262471866838	0.04170430593194821	0.021582207481831928
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__;f__	0.0	0.0012560298534631837	0.0	0.0	0.0002408912978018669	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__	0.0	0.00016382998088650222	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;__;__	0.0	9.101665604805679e-05	0.0009414390069561882	0.0	0.0002408912978018669	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.000918889385585854	0.0038773095476472195	0.0019874823480186196	0.002443222164718909	0.0008130081300813008	0.0064868555821099355
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__	8.692196890676998e-05	0.0006007099299171749	0.00013947244547499085	0.0	0.0002408912978018669	6.09666878017851e-05
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae	0.0	7.281332483844543e-05	0.0	0.000252747120488163	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Butyricicoccaceae	0.00546366661699697	0.00016382998088650222	0.0020049164037029936	0.0035504952640003852	0.00015055706112616682	0.0069623957469638585
d__Bacteria;p__Firmicutes_B_370539;c__Dehalobacteriia;o__Dehalobacteriales;f__Dehalobacteriaceae	0.0	0.0	0.0	0.0	0.0	7.316002536214213e-05
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Anaerotignaceae	0.0011920727164357026	0.00038226995540183856	0.002423333740127966	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_592524;f__Burkholderiaceae_A_574938	6.208712064769285e-05	0.0001274233184672795	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;__;__	0.0	0.0	0.0	0.0	0.0	3.658001268107106e-05
